row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,3.12e-05 [1.5e-05-3.76e-05],0.00344 [0.00158-0.00404],0.305 [0.176-0.413],22.2 [14.4-44.8],504 [495-596],5.13e+03 [5.11e+03-5.31e+03]
q=2,physics,backward,3.52e-05 [1.44e-05-3.74e-05],0.00335 [0.00153-0.00408],0.382 [0.147-0.401],37 [12.6-49.4],596 [584-614],2.52e+04 [2.45e+04-2.53e+04]
q=2,twin,forward,2.61e-06 [1.76e-06-3.43e-06],0.000279 [0.000176-0.00035],0.0371 [0.0229-0.0537],4.4 [3.27-5.51],738 [671-1.04e+03],6.36e+03 [5.79e+03-6.55e+03]
q=2,twin,backward,2.8e-06 [1.72e-06-3.23e-06],0.000256 [0.000185-0.000374],0.0322 [0.0226-0.0402],4.19 [3.54-4.36],685 [602-688],7.15e+03 [7.11e+03-1.08e+04]
q=4,physics,forward,2.1e-05 [1.43e-05-2.94e-05],0.0023 [0.00165-0.00316],0.241 [0.189-0.353],24.3 [22.1-36.8],558 [464-597],4.84e+03 [4.83e+03-5.05e+03]
q=4,physics,backward,2.21e-05 [1.5e-05-3.1e-05],0.00229 [0.00155-0.00308],0.22 [0.145-0.296],17.4 [9.64-18.5],464 [414-550],2.86e+03 [2.82e+03-2.9e+03]
q=4,twin,forward,2.48e-06 [2.32e-06-2.52e-06],0.000259 [0.000243-0.000272],0.0276 [0.0264-0.0307],3.91 [3.45-3.92],672 [585-822],6.31e+03 [6.01e+03-6.38e+03]
q=4,twin,backward,2.19e-06 [2.1e-06-2.54e-06],0.000225 [0.000219-0.000279],0.0339 [0.0249-0.0348],3.18 [2.52-3.68],618 [572-696],7.86e+03 [5.8e+03-8.16e+03]
q=6,physics,forward,1.74e-05 [1.32e-05-2.38e-05],0.00185 [0.0013-0.00269],0.191 [0.167-0.284],29 [21.5-30.2],444 [417-518],1.14e+03 [976-1.31e+03]
q=6,physics,backward,1.81e-05 [1.43e-05-2.59e-05],0.00186 [0.00145-0.00256],0.175 [0.166-0.247],16.3 [14.6-30.1],514 [482-528],1.01e+03 [929-1.11e+03]
q=6,twin,forward,2.51e-06 [2.1e-06-3.22e-06],0.000248 [0.00018-0.00031],0.0365 [0.0271-0.0428],4.73 [3.76-4.85],795 [536-845],7.03e+03 [6.32e+03-7.05e+03]
q=6,twin,backward,2.49e-06 [1.65e-06-3.22e-06],0.000254 [0.000209-0.000307],0.0281 [0.021-0.0339],2.67 [2.62-3.33],722 [580-794],7.23e+03 [6e+03-1.1e+04]
q=8,physics,forward,1.49e-05 [1.3e-05-2.27e-05],0.00162 [0.00121-0.00241],0.213 [0.11-0.238],27.6 [9.87-35.7],508 [457-576],946 [924-953]
q=8,physics,backward,1.69e-05 [1.21e-05-2.44e-05],0.00161 [0.00125-0.00234],0.147 [0.139-0.239],18 [16.2-18.9],502 [414-586],1.04e+03 [826-1.14e+03]
q=8,twin,forward,2.71e-06 [2.65e-06-3.31e-06],0.00033 [0.000326-0.000343],0.031 [0.0306-0.0342],4.36 [4.04-5.22],733 [708-1e+03],6.66e+03 [6.08e+03-1.09e+04]
q=8,twin,backward,3.17e-06 [2.8e-06-3.28e-06],0.00029 [0.000287-0.000384],0.0341 [0.0331-0.0355],3.48 [2.73-3.55],754 [743-769],7.99e+03 [7.92e+03-8.03e+03]
q=10,physics,forward,1.55e-05 [1.35e-05-1.57e-05],0.00165 [0.0014-0.00172],0.154 [0.146-0.161],18 [13.7-19.1],471 [449-537],980 [857-1.07e+03]
q=10,physics,backward,1.45e-05 [1.37e-05-1.48e-05],0.00151 [0.00144-0.0016],0.155 [0.146-0.176],16.2 [10.9-19.3],456 [444-566],1.03e+03 [894-1.11e+03]
q=10,twin,forward,3.89e-06 [2.75e-06-4.68e-06],0.000431 [0.000362-0.000443],0.0373 [0.0307-0.0384],4.56 [3.86-4.58],1.12e+03 [783-1.17e+03],8.94e+03 [7.24e+03-9.19e+03]
q=10,twin,backward,3.66e-06 [2.64e-06-3.89e-06],0.000306 [0.0003-0.00033],0.032 [0.03-0.0343],3.02 [2.98-3.43],867 [767-887],7.79e+03 [7.21e+03-1.13e+04]
q=12,physics,forward,1.23e-05 [7.97e-06-1.87e-05],0.00119 [0.00091-0.00193],0.124 [0.0965-0.19],11.1 [7.23-31.9],471 [402-482],932 [696-941]
q=12,physics,backward,1.09e-05 [7.86e-06-1.79e-05],0.00123 [0.000843-0.00185],0.129 [0.0767-0.183],16.6 [9.05-21.6],506 [400-524],982 [979-1.11e+03]
q=12,twin,forward,3.04e-06 [3.01e-06-3.24e-06],0.000303 [0.000275-0.000323],0.0281 [0.0239-0.0346],4.16 [3.21-4.42],1.27e+03 [999-1.27e+03],8.62e+03 [5.45e+03-1.53e+04]
q=12,twin,backward,3.13e-06 [2.73e-06-3.86e-06],0.000302 [0.0003-0.000364],0.0422 [0.0301-0.0441],3.2 [2.58-3.25],881 [692-912],1.03e+04 [8.25e+03-1.14e+04]
q=14,physics,forward,1.17e-05 [7.91e-06-1.56e-05],0.00123 [0.000885-0.00167],0.113 [0.0858-0.148],9.62 [9.53-22.2],476 [475-571],1.03e+03 [935-1.29e+03]
q=14,physics,backward,1.12e-05 [8.23e-06-1.53e-05],0.00115 [0.000816-0.00158],0.128 [0.0804-0.183],17.3 [8.36-39.3],496 [482-513],1.03e+03 [841-1.07e+03]
q=14,twin,forward,3.12e-06 [2.3e-06-4.2e-06],0.000269 [0.000229-0.000405],0.0261 [0.0235-0.0318],3.92 [3.85-4.55],1.12e+03 [929-1.3e+03],8.97e+03 [8.1e+03-1.04e+04]
q=14,twin,backward,3.18e-06 [2.65e-06-3.84e-06],0.000284 [0.00025-0.00029],0.0282 [0.026-0.0304],2.76 [2.53-2.96],887 [878-890],9.26e+03 [8.68e+03-9.51e+03]
q=16,physics,forward,9.75e-06 [6.93e-06-9.8e-06],0.000913 [0.000717-0.00105],0.0983 [0.0692-0.0993],7.67 [6.62-10.5],476 [373-510],989 [842-1.06e+03]
q=16,physics,backward,9.6e-06 [7.06e-06-1.02e-05],0.000947 [0.000681-0.000979],0.0989 [0.0789-0.103],10.4 [10.2-11.3],469 [461-627],1.12e+03 [1.06e+03-1.17e+03]
q=16,twin,forward,2.64e-06 [2.48e-06-4.1e-06],0.000328 [0.000268-0.000362],0.0316 [0.0274-0.0446],5.39 [3.98-6.27],1.01e+03 [838-1.13e+03],1.12e+04 [7.73e+03-1.3e+04]
q=16,twin,backward,3.04e-06 [2.51e-06-4.22e-06],0.000291 [0.000262-0.000368],0.032 [0.0226-0.0419],2.83 [2.62-3.53],798 [753-906],9.13e+03 [8.66e+03-1.1e+04]
q=18,physics,forward,1.2e-05 [7.36e-06-1.86e-05],0.00122 [0.000719-0.002],0.119 [0.0724-0.205],10.2 [7.23-19.8],538 [528-554],1.08e+03 [1.07e+03-1.12e+03]
q=18,physics,backward,1.17e-05 [6.7e-06-1.73e-05],0.0011 [0.000747-0.00201],0.124 [0.0765-0.199],8.96 [7.89-18.4],483 [473-525],1.06e+03 [1.06e+03-1.17e+03]
q=18,twin,forward,3.67e-06 [3.33e-06-4.24e-06],0.000339 [0.000304-0.000404],0.0334 [0.027-0.0405],4.24 [4.02-4.53],1.22e+03 [1.19e+03-1.32e+03],7.43e+03 [6.69e+03-9.31e+03]
q=18,twin,backward,3.55e-06 [3.46e-06-3.74e-06],0.000312 [0.00031-0.0004],0.034 [0.0302-0.0344],3.23 [3.18-3.31],901 [868-917],1.02e+04 [9.94e+03-1.12e+04]
q=20,physics,forward,9.66e-06 [7.36e-06-1.11e-05],0.00097 [0.000754-0.00118],0.0891 [0.0847-0.119],11.2 [9.55-14.5],501 [478-611],1.15e+03 [976-1.25e+03]
q=20,physics,backward,9.12e-06 [7.68e-06-1.11e-05],0.000926 [0.000771-0.0011],0.101 [0.0817-0.119],18.1 [10.5-19.9],510 [464-521],987 [966-1.19e+03]
q=20,twin,forward,3.95e-06 [3.92e-06-4.95e-06],0.00035 [0.000301-0.000396],0.0295 [0.028-0.0343],3.96 [3.9-4.58],1.25e+03 [1.22e+03-1.27e+03],8.02e+03 [6.14e+03-9.68e+03]
q=20,twin,backward,4.56e-06 [3.62e-06-4.64e-06],0.000409 [0.000373-0.000414],0.0346 [0.0265-0.0385],3.2 [2.88-3.7],916 [860-943],1.13e+04 [7.96e+03-1.31e+04]
