row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,1.75e-05 [1.47e-05-2.51e-05],0.0018 [0.00149-0.00276],0.186 [0.14-0.273],13.5 [12.4-20.7],312 [304-318],9.92e+03 [9.74e+03-1.03e+04]
q=2,twin,1.55e-06 [1.4e-06-1.78e-06],0.000141 [0.000133-0.000175],0.0172 [0.0164-0.0199],2.16 [2.12-3.03],323 [314-405],3.57e+03 [2.87e+03-4.02e+03]
q=4,physics,1.18e-05 [9.43e-06-1.21e-05],0.00124 [0.00098-0.00125],0.126 [0.105-0.127],10.2 [9.14-11.1],272 [259-272],3.58e+03 [3.53e+03-3.72e+03]
q=4,twin,1.67e-06 [1.31e-06-3.25e-06],0.00015 [0.00013-0.000216],0.0168 [0.015-0.0226],2.18 [1.85-2.46],367 [260-487],3.86e+03 [3.21e+03-6.33e+03]
q=6,physics,7.86e-06 [6.16e-06-2.45e-05],0.000802 [0.000655-0.00261],0.0841 [0.0652-0.257],8.18 [8.04-16.2],295 [269-299],755 [737-785]
q=6,twin,2.43e-06 [1.16e-06-3.02e-06],0.000221 [0.00011-0.000252],0.0237 [0.0114-0.0277],2.84 [1.76-3.47],481 [274-575],5.78e+03 [3.72e+03-7.25e+03]
q=8,physics,2.35e-05 [1.44e-05-2.48e-05],0.00246 [0.00153-0.00267],0.245 [0.154-0.27],15.1 [13.2-16.3],276 [275-310],776 [733-807]
q=8,twin,1.77e-06 [1.42e-06-4.11e-06],0.000182 [0.000167-0.000344],0.0225 [0.0172-0.0309],2.78 [2.21-3.47],392 [384-927],4.77e+03 [4.57e+03-8.17e+03]
q=10,physics,1.85e-05 [8.38e-06-3.02e-05],0.00193 [0.000855-0.00331],0.2 [0.0986-0.325],15.9 [11.3-26.7],290 [261-298],736 [706-749]
q=10,twin,2.11e-06 [2.06e-06-2.22e-06],0.000203 [0.000178-0.000254],0.0193 [0.0186-0.0263],2.52 [2.2-2.55],409 [343-579],5.42e+03 [3.93e+03-6.17e+03]
q=12,physics,1.91e-05 [4.75e-06-2.25e-05],0.00191 [0.000482-0.00241],0.193 [0.0522-0.242],15.1 [8.18-21.6],303 [274-340],726 [699-889]
q=12,twin,3.11e-06 [2.76e-06-3.57e-06],0.000281 [0.000198-0.000286],0.0286 [0.0218-0.0288],3 [2.9-4.03],668 [431-714],5.85e+03 [5.72e+03-6.55e+03]
q=14,physics,2.07e-05 [1.08e-05-2.95e-05],0.00216 [0.00115-0.00315],0.22 [0.112-0.317],15.1 [13.9-25.1],330 [282-333],814 [752-820]
q=14,twin,3.05e-06 [2.41e-06-3.15e-06],0.000209 [0.000177-0.000272],0.0215 [0.0165-0.0289],2.44 [2.41-3.29],442 [368-480],6.2e+03 [5.23e+03-7.52e+03]
q=16,physics,9.63e-06 [9.6e-06-1e-05],0.00105 [0.000994-0.00105],0.108 [0.101-0.111],9.42 [9.4-10.6],288 [271-297],766 [657-770]
q=16,twin,1.83e-06 [1.81e-06-2.91e-06],0.000198 [0.000144-0.000239],0.021 [0.0175-0.0236],2.47 [2.08-2.68],415 [324-668],4.97e+03 [3.35e+03-6.52e+03]
q=18,physics,1.81e-05 [9.92e-06-3.13e-05],0.00185 [0.000958-0.00332],0.194 [0.103-0.335],16.8 [10.6-27],285 [282-309],770 [697-780]
q=18,twin,1.98e-06 [1.54e-06-2.77e-06],0.000218 [0.000159-0.000237],0.0199 [0.016-0.0276],2.22 [2.19-2.7],387 [355-396],4.83e+03 [4.36e+03-5.25e+03]
q=20,physics,1.12e-05 [7.82e-06-1.72e-05],0.00119 [0.0008-0.00181],0.117 [0.0862-0.193],11.6 [10.2-15.2],302 [267-367],735 [714-853]
q=20,twin,3.21e-06 [2.5e-06-3.33e-06],0.00019 [0.000177-0.000217],0.0217 [0.0189-0.0245],2.65 [2.45-2.66],465 [361-495],5.66e+03 [3.7e+03-6.4e+03]
exact scheme q=2,exact scheme,1.42e-11,2.34e-10,3.18e-09,0.00321,12.8,9.26e+03
exact scheme q=4,exact scheme,1.42e-11,2.35e-10,3.07e-09,0.000749,1.22,3.62e+03
exact scheme q=6,exact scheme,1.42e-11,2.34e-10,3.07e-09,0.000348,0.825,233
exact scheme q=8,exact scheme,1.42e-11,2.34e-10,3.05e-09,0.000201,0.696,32.6
exact scheme q=10,exact scheme,1.42e-11,2.31e-10,3.04e-09,0.000137,0.504,32.5
exact scheme q=12,exact scheme,1.42e-11,2.34e-10,3.02e-09,9.71e-05,0.396,41.5
exact scheme q=14,exact scheme,1.42e-11,2.34e-10,3.04e-09,6.5e-05,0.304,20.4
exact scheme q=16,exact scheme,1.42e-11,2.34e-10,3.01e-09,5.34e-05,0.219,36.1
exact scheme q=18,exact scheme,1.42e-11,2.27e-10,3e-09,4.21e-05,0.167,38.6
exact scheme q=20,exact scheme,1.42e-11,2.34e-10,2.98e-09,3.41e-05,0.146,23.6
straight line,straight line,0.000131,0.0139,1.42,141,1.6e+04,4.56e+05
median |dz| [mm],note,0.101,1,10.1,99.8,999,5.18e+03
fine reference floor [um],note,5e-05 over a whole crossing; far lower per short step,,,,,
