width,depth,arch,mode,q,stratum,direction,split,median_um,min_um,max_um,p95_um,slope_mrad,rho,straight_um,n_rows,n_seeds,n_confirmed,pending,abs_dz_mm,n_parameters,multiply_adds
32,2,2x32,data,2,0.05-0.2 mm,all,test,3.950077598346979e-06,2.635058393707368e-06,3.979549134669469e-06,8.24164061441479e-05,0.00012621113359674932,2.2145483099564987e-19,0.0001305794636863311,2000,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.05-0.2 mm,all,val,3.977156382006797e-06,2.651049157975649e-06,3.997804753907985e-06,8.637169912617536e-05,0.00013607878447327582,2.59926916551548e-19,0.00013977896173855697,2000,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.05-0.2 mm,backward,test,3.331876996526262e-06,2.6299176170141436e-06,4.012463250546716e-06,8.32029684261215e-05,0.00010627063831702976,1.6232152687696835e-19,0.00013178674862501794,983,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.05-0.2 mm,backward,val,3.3094451623583154e-06,2.481783667462878e-06,4.48338255409908e-06,8.439632495083052e-05,0.00010914797445027435,1.8526549152369495e-19,0.0001464744912027527,1017,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.05-0.2 mm,forward,test,3.88295973152708e-06,2.647059460514356e-06,4.836181233258685e-06,8.125816748361098e-05,0.00018070798705333013,3.5911203570133224e-19,0.0001273499492526753,1017,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.05-0.2 mm,forward,val,3.566711370694975e-06,2.7955024961556774e-06,4.814506127104323e-06,8.602191599038632e-05,0.0001934632822566361,4.924319514319852e-19,0.00013516631724996842,983,3,3,False,0.10055355399594301,1708,1632
32,2,2x32,data,2,0.5-2 mm,all,test,0.00039043489685752775,0.00035219403571318253,0.0004180063655212507,0.009459048759197224,0.0008779845119509522,1.733066345164749e-17,0.013896570703053612,2000,3,3,False,1.003832351083143,1708,1632
32,2,2x32,data,2,0.5-2 mm,all,val,0.0003899766731763066,0.00036035021366842557,0.000390245290304847,0.008561823227637433,0.0008089903780830743,1.6236191119206315e-17,0.013709354546698194,2000,3,3,False,1.003832351083143,1708,1632
32,2,2x32,data,2,0.5-2 mm,backward,test,0.00037052200951848135,0.000299245208168486,0.0004063181506808178,0.008839778428182395,0.0009642338285355267,1.9177377473927822e-17,0.013845175832472023,1000,3,3,False,1.003832351083143,1708,1632
32,2,2x32,data,2,0.5-2 mm,backward,val,0.0003939109101125382,0.0003219436717216695,0.00042395397770178533,0.00854793999138792,0.0009062807872807499,2.0218581538584303e-17,0.01395275811333363,986,3,3,False,1.003832351083143,1708,1632
32,2,2x32,data,2,0.5-2 mm,forward,test,0.0004272538980387708,0.00033548946731798424,0.00047787706591861934,0.009706966800493426,0.0007667237885700118,1.5500573878217693e-17,0.014008352798633439,1000,3,3,False,1.003832351083143,1708,1632
