mode,seed,phase,outer,loss,wall_s
physics,1,stall,0,0.00022639485685321258,14.1
physics,1,stall,1,8.37307693961275e-05,16.2
physics,1,stall,2,4.727610507161254e-05,15.5
physics,1,stall,3,3.3891212121797827e-05,17.4
physics,1,stall,4,2.65866135562425e-05,16.0
physics,1,stall,5,2.194899805402832e-05,15.2
physics,1,stall,6,1.852334307194659e-05,15.3
physics,1,stall,7,1.5787358826684552e-05,16.6
physics,1,stall,8,1.3495577846116651e-05,15.6
physics,1,stall,9,1.1454309558260025e-05,18.7
physics,1,stall,10,9.854319193031079e-06,17.0
physics,1,stall,11,8.556194497062288e-06,18.5
physics,1,stall,12,7.449556047091445e-06,17.5
physics,1,stall,13,6.533341834856757e-06,17.7
physics,1,stall,14,5.7885118574846145e-06,17.1
physics,1,stall,15,5.19113369826677e-06,17.1
physics,1,stall,16,4.693859777645404e-06,17.3
physics,1,stall,17,4.293004048218761e-06,16.0
physics,1,stall,18,3.956998089502368e-06,16.3
physics,1,stall,19,3.6733182393107343e-06,18.6
physics,1,stall,20,3.4280268260467297e-06,16.5
physics,1,stall,21,3.2035165272204685e-06,18.9
physics,1,stall,22,3.0110430843620207e-06,17.6
physics,1,stall,23,2.8321916221879906e-06,17.2
physics,1,stall,24,2.6662314305334057e-06,17.9
physics,1,stall,25,2.5155453760033324e-06,16.4
physics,1,stall,26,2.3864393786707917e-06,17.3
physics,1,stall,27,2.2674361434903855e-06,15.8
physics,1,stall,28,2.1629401817523974e-06,16.3
physics,1,stall,29,2.066045733706883e-06,15.7
physics,1,stall,30,1.980644321412874e-06,15.9
physics,1,stall,31,1.9009818436223714e-06,16.8
physics,1,stall,32,1.8254179254564045e-06,15.8
physics,1,stall,33,1.754938270562136e-06,16.3
physics,1,stall,34,1.6846863659735923e-06,19.3
physics,1,stall,35,1.6194846777010529e-06,17.7
physics,1,stall,36,1.5568183794767467e-06,17.2
physics,1,stall,37,1.5017097668145075e-06,17.7
physics,1,stall,38,1.4452387775048923e-06,18.2
physics,1,stall,39,1.4193453022349226e-06,17.3
physics,1,stall,40,1.417817934622366e-06,16.3
physics,1,stall,41,1.4160669470374653e-06,17.0
physics,1,confirm,42,1.4158043788012253e-06,17.3
physics,1,confirm,43,1.4155948255504092e-06,16.2
