mode,seed,phase,outer,loss,wall_s
data,2,stall,0,0.030963476008862654,11.2
data,2,stall,1,0.015206504541373206,11.4
data,2,stall,2,0.008740251954368741,11.4
data,2,stall,3,0.005937315692320318,11.5
data,2,stall,4,0.004451691640420433,11.9
data,2,stall,5,0.003924496411021698,11.5
data,2,stall,6,0.0036222786501501807,12.1
data,2,stall,7,0.0034658560867892245,12.0
data,2,stall,8,0.0033742186483070725,11.6
data,2,stall,9,0.0033185145983320053,11.7
data,2,stall,10,0.003278876835161676,11.6
data,2,stall,11,0.003244167712984332,11.7
data,2,stall,12,0.003217018627659204,12.1
data,2,stall,13,0.003189814474007687,11.8
data,2,confirm,14,0.003171218623791041,11.1
data,2,confirm,15,0.0031353860297832804,11.8
data,2,confirm,16,0.0030838479699170935,11.6
data,2,confirm,17,0.0030475538214686172,12.0
data,2,confirm,18,0.003012209842306072,12.0
data,2,confirm,19,0.002975554889632259,11.9
data,2,confirm,20,0.00294744114012229,12.1
data,2,confirm,21,0.002917251911425855,11.9
data,2,confirm,22,0.0028767271619620453,12.1
data,2,confirm,23,0.0028328005357641127,12.2
data,2,confirm,24,0.002786780115926319,11.9
data,2,confirm,25,0.0027361132914447786,11.8
data,2,confirm,26,0.0026928285601079145,12.2
data,2,confirm,27,0.0026416198319117005,11.9
data,2,confirm,28,0.0025917100306228694,11.8
data,2,confirm,29,0.002542355177592697,12.0
data,2,confirm,30,0.002492743371330485,11.7
data,2,confirm,31,0.0024262812351186205,12.1
data,2,confirm,32,0.002365677594187756,11.7
data,2,confirm,33,0.002308676155234163,11.8
data,2,confirm,34,0.002264635394510024,12.0
data,2,confirm,35,0.0022187994268072,11.9
data,2,confirm,36,0.0021633954772616857,11.7
data,2,confirm,37,0.0021129693137315443,12.0
data,2,confirm,38,0.002067061359233946,11.9
data,2,confirm,39,0.0020212644880830103,11.9
data,2,confirm,40,0.001982638437545226,11.8
data,2,confirm,41,0.001943570943486367,11.8
data,2,confirm,42,0.0018909550063497976,11.6
data,2,confirm,43,0.0018471395021406906,11.8
data,2,confirm,44,0.001796028520502662,12.0
data,2,confirm,45,0.0017583309006205293,11.6
data,2,confirm,46,0.0017183252915335206,11.5
data,2,confirm,47,0.0016799471172463598,11.6
data,2,confirm,48,0.0016497774502820307,12.1
data,2,confirm,49,0.0016167788468116145,11.8
data,2,confirm,50,0.0015878299744869267,11.6
data,2,confirm,51,0.0015600259678495501,12.0
data,2,confirm,52,0.0015350062993738753,11.7
data,2,confirm,53,0.0015056106132799406,11.7
data,2,confirm,54,0.001478022283345793,11.7
data,2,confirm,55,0.001453539682991392,11.9
data,2,confirm,56,0.0014276907318275234,11.8
data,2,confirm,57,0.0014060756989996944,11.6
data,2,confirm,58,0.0013751017690548718,11.8
data,2,confirm,59,0.0013488930043812474,11.6
data,2,confirm,60,0.001322339477245289,11.7
data,2,confirm,61,0.0012936019201280062,11.6
data,2,confirm,62,0.0012664300366474345,11.5
data,2,confirm,63,0.0012406726762165447,11.8
data,2,confirm,64,0.0012092982195412185,11.8
data,2,confirm,65,0.0011867770892971157,12.0
data,2,confirm,66,0.0011609063118421465,11.6
data,2,confirm,67,0.0011312110963256964,11.6
data,2,confirm,68,0.0011027494266564047,11.8
data,2,confirm,69,0.0010726373925417719,11.7
data,2,confirm,70,0.0010463968199993117,11.4
data,2,confirm,71,0.0010243252707729691,11.4
data,2,confirm,72,0.001003116057560016,11.8
data,2,confirm,73,0.0009854917448966886,12.1
data,2,confirm,74,0.0009639266317109807,11.8
data,2,confirm,75,0.0009413635449189164,11.8
data,2,confirm,76,0.0009164646614322942,11.4
data,2,confirm,77,0.0008982283112287211,12.0
data,2,confirm,78,0.0008782484680001435,12.0
data,2,confirm,79,0.0008553091295909723,11.6
data,2,confirm,80,0.0008332529166419866,12.0
data,2,confirm,81,0.0008112570457006076,11.6
data,2,confirm,82,0.0007891251426304163,11.7
data,2,confirm,83,0.0007703171340445449,11.9
data,2,confirm,84,0.0007542590306320154,11.7
data,2,confirm,85,0.0007375116942959889,11.6
data,2,confirm,86,0.0007223218574098131,11.7
data,2,confirm,87,0.0007080407815833825,11.6
