mode,seed,outer,loss,wall_s
data,0,0,0.005082080564724312,16.2
data,0,1,0.002117946009735754,16.1
data,0,2,0.0008413529209603727,20.7
data,0,3,0.0005089443129982431,11.2
data,0,4,0.0003305036991586461,25.5
data,0,5,0.00023963883953398308,21.6
data,0,6,0.00018726203199446163,22.1
data,0,7,0.000153591000196284,21.7
data,0,8,0.00012948287590290966,27.1
data,0,9,0.0001121435700387931,11.3
data,0,10,9.94703929875176e-05,11.4
data,0,11,8.940791003717988e-05,12.4
data,0,12,8.070052479062881e-05,24.6
data,0,13,7.303006661499027e-05,9.6
data,0,14,6.730223967691357e-05,20.0
data,0,15,6.257732784363793e-05,8.8
data,0,16,5.819222438339677e-05,31.6
data,0,17,5.3582200559423896e-05,11.9
data,0,18,4.988214053218322e-05,24.1
data,0,19,4.677169010771589e-05,17.1
data,0,20,4.413163265325899e-05,15.7
data,0,21,4.180849497474941e-05,24.1
data,0,22,3.9473627146227575e-05,19.2
data,0,23,3.70174677787184e-05,18.4
data,0,24,3.486390648553355e-05,15.7
data,0,25,3.312158871308144e-05,23.4
data,0,26,3.140387568118417e-05,21.6
data,0,27,2.9764526310553758e-05,23.5
data,0,28,2.8164471187239593e-05,29.7
data,0,29,2.6679797995972503e-05,42.0
data,0,30,2.5270310951303562e-05,36.4
data,0,31,2.3908011287676867e-05,31.4
data,0,32,2.265502578300588e-05,7.5
data,0,33,2.1467284423721e-05,9.3
data,0,34,2.0523587439810595e-05,11.7
data,0,35,1.963271033705936e-05,11.6
data,0,36,1.883215306340148e-05,9.0
data,0,37,1.7976474912732508e-05,11.8
data,0,38,1.7308965298688236e-05,10.9
data,0,39,1.6659105678985295e-05,13.6
data,0,40,1.6059549914361074e-05,10.9
data,0,41,1.544013096034471e-05,10.0
data,0,42,1.4920644278965496e-05,8.0
data,0,43,1.4409294152566373e-05,11.5
data,0,44,1.3863595057068391e-05,12.3
data,0,45,1.3274587667136137e-05,12.3
data,0,46,1.2818465040037357e-05,10.5
data,0,47,1.2369808907926056e-05,11.7
data,0,48,1.1941236876767536e-05,10.4
data,0,49,1.1532859464220497e-05,11.7
data,0,50,1.117487202894683e-05,7.7
data,0,51,1.0849090257378429e-05,9.8
data,0,52,1.054032485643799e-05,8.2
data,0,53,1.0188246204445669e-05,7.3
data,0,54,9.895798034851703e-06,8.1
data,0,55,9.631639433095469e-06,6.7
data,0,56,9.391433037430755e-06,11.8
data,0,57,9.103829059762547e-06,8.2
data,0,58,8.837681863901049e-06,9.3
data,0,59,8.592323927455768e-06,7.9
data,0,60,8.362434692849957e-06,5.3
data,0,61,8.145746459070016e-06,3.9
data,0,62,7.948136654998728e-06,4.5
data,0,63,7.756823758214232e-06,8.9
data,0,64,7.573049136118776e-06,9.9
data,0,65,7.384450398062732e-06,8.0
data,0,66,7.2031165711279145e-06,11.1
data,0,67,7.036397659217951e-06,6.7
data,0,68,6.886604881206394e-06,6.1
data,0,69,6.74498543557052e-06,5.8
data,0,70,6.606652815511289e-06,5.5
data,0,71,6.475990010008753e-06,3.9
data,0,72,6.344907935387136e-06,3.7
data,0,73,6.225075417769276e-06,4.7
data,0,74,6.097747609319928e-06,6.3
data,0,75,5.976922806613558e-06,4.3
data,0,76,5.866608458916272e-06,4.4
data,0,77,5.757143425075061e-06,3.3
data,0,78,5.650236788462014e-06,3.2
data,0,79,5.5339345235468255e-06,3.2
data,0,80,5.426004969366752e-06,3.5
data,0,81,5.311567279556287e-06,3.6
data,0,82,5.208330758888338e-06,3.5
data,0,83,5.107708652775117e-06,3.6
data,0,84,5.00980713672727e-06,3.7
data,0,85,4.962767052276556e-06,3.7
data,0,86,4.96167007042449e-06,3.5
data,0,87,4.961530005128101e-06,6.3
data,0,88,4.961420082519321e-06,11.0
