mode,seed,phase,outer,loss,wall_s
physics,2,stall,0,0.007368020362034878,5.9
physics,2,stall,1,0.0032435064511128382,6.3
physics,2,stall,2,0.0022847551264006823,6.4
physics,2,stall,3,0.0015995774115530915,6.3
physics,2,stall,4,0.0011508062876183095,6.4
physics,2,stall,5,0.0007302762212043941,6.4
physics,2,stall,6,0.0004655362214462312,6.4
physics,2,stall,7,0.0003407031274799376,6.4
physics,2,stall,8,0.0002551445091721877,6.4
physics,2,stall,9,0.00020166814645430968,6.4
physics,2,stall,10,0.00016608037129761042,6.5
physics,2,stall,11,0.00013683838091820466,6.5
physics,2,stall,12,0.00011812117915766643,6.4
physics,2,stall,13,0.00010288535354686217,6.5
physics,2,stall,14,9.021610602251556e-05,6.4
physics,2,stall,15,7.853563482267736e-05,6.3
physics,2,stall,16,6.962472489133401e-05,6.0
physics,2,stall,17,6.202645868953456e-05,6.0
physics,2,stall,18,5.5199474340198994e-05,6.0
physics,2,stall,19,4.9606276739580896e-05,6.1
physics,2,stall,20,4.475166177362652e-05,6.0
physics,2,stall,21,4.055345434216853e-05,6.5
physics,2,stall,22,3.736217297175961e-05,6.5
physics,2,stall,23,3.4323304898385195e-05,6.5
physics,2,stall,24,3.1999136149632383e-05,6.1
physics,2,stall,25,2.9955108611013904e-05,6.0
physics,2,stall,26,2.829413363020676e-05,6.5
physics,2,stall,27,2.6619125235700473e-05,6.4
physics,2,stall,28,2.504119756672318e-05,6.6
physics,2,stall,29,2.3848733978618893e-05,6.5
physics,2,stall,30,2.2689374266129023e-05,6.6
physics,2,stall,31,2.1714391845582524e-05,6.6
physics,2,stall,32,2.076683349975573e-05,6.6
physics,2,stall,33,1.9851929110104097e-05,6.5
physics,2,stall,34,1.892577685829471e-05,6.7
physics,2,stall,35,1.8193917244919467e-05,6.6
physics,2,stall,36,1.759544904479563e-05,6.7
physics,2,stall,37,1.6987363339856884e-05,6.9
physics,2,stall,38,1.6391325249302137e-05,6.5
physics,2,stall,39,1.591564390928558e-05,6.6
physics,2,stall,40,1.54377448829882e-05,6.5
physics,2,stall,41,1.5020647753846787e-05,6.4
physics,2,stall,42,1.4626499536644761e-05,6.5
physics,2,stall,43,1.4225603182193099e-05,6.6
physics,2,stall,44,1.3868050300002202e-05,6.4
physics,2,stall,45,1.3557479607322812e-05,6.5
physics,2,stall,46,1.3200332302691553e-05,6.5
physics,2,stall,47,1.2829856481034056e-05,6.5
physics,2,stall,48,1.2494211126753898e-05,6.2
physics,2,stall,49,1.2134007999429091e-05,6.2
physics,2,stall,50,1.1786079510073776e-05,6.1
physics,2,stall,51,1.1432818223230064e-05,6.1
physics,2,stall,52,1.1102571303608442e-05,6.1
physics,2,stall,53,1.0753064082780767e-05,6.3
physics,2,stall,54,1.0458818874282798e-05,6.6
physics,2,stall,55,1.0200128700945918e-05,6.5
physics,2,stall,56,9.988798914799845e-06,6.7
physics,2,stall,57,9.80370009231035e-06,6.6
physics,2,stall,58,9.601788967446698e-06,6.7
physics,2,stall,59,9.39538466693335e-06,6.7
physics,2,stall,60,9.187727454774369e-06,6.6
physics,2,stall,61,8.992450235683208e-06,6.7
physics,2,stall,62,8.805525027704566e-06,6.7
physics,2,stall,63,8.63577333512098e-06,6.4
physics,2,stall,64,8.470380181133815e-06,6.2
physics,2,stall,65,8.309294564546894e-06,6.2
physics,2,stall,66,8.150535471108041e-06,6.1
physics,2,stall,67,8.008988192655722e-06,6.2
physics,2,stall,68,7.873854980395676e-06,6.6
physics,2,stall,69,7.720842552947376e-06,6.2
physics,2,stall,70,7.581739480100512e-06,5.9
physics,2,stall,71,7.4645627582481e-06,6.2
physics,2,stall,72,7.32949729684583e-06,6.1
physics,2,stall,73,7.224570806977901e-06,6.0
physics,2,stall,74,7.123449620642956e-06,6.2
physics,2,stall,75,7.025510262215794e-06,6.1
physics,2,stall,76,6.927699713487357e-06,6.1
physics,2,stall,77,6.810250754027753e-06,6.1
physics,2,stall,78,6.7046164551103026e-06,6.1
physics,2,stall,79,6.6215488578711045e-06,6.0
physics,2,stall,80,6.5407375362916425e-06,6.1
physics,2,stall,81,6.453350340765938e-06,6.3
physics,2,stall,82,6.368697124363079e-06,6.0
physics,2,stall,83,6.2817397087519145e-06,6.2
physics,2,stall,84,6.198875453487001e-06,6.1
physics,2,stall,85,6.114163003025084e-06,6.1
physics,2,stall,86,6.035550247109315e-06,6.1
physics,2,stall,87,5.9607141832815375e-06,6.1
physics,2,stall,88,5.8888677562640574e-06,6.1
physics,2,stall,89,5.815415701895332e-06,6.0
physics,2,stall,90,5.729730656881868e-06,6.1
physics,2,stall,91,5.6370488808252336e-06,6.2
physics,2,stall,92,5.5649043653252585e-06,6.3
physics,2,stall,93,5.491308242074748e-06,6.1
physics,2,stall,94,5.428446366658675e-06,6.4
physics,2,stall,95,5.424661297526279e-06,6.4
physics,2,stall,96,5.423299753065503e-06,6.4
physics,2,confirm,97,5.4231880790918705e-06,5.5
physics,2,confirm,98,5.423091152751615e-06,5.5
