mode,seed,phase,outer,loss,wall_s
data,0,stall,0,0.005067951763505302,4.5
data,0,stall,1,0.002058038143177776,4.7
data,0,stall,2,0.0008429333194016675,4.7
data,0,stall,3,0.0005074559046131604,4.7
data,0,stall,4,0.00033527498832120064,4.7
data,0,stall,5,0.0002414102966378255,4.7
data,0,stall,6,0.0001915442836123661,4.7
data,0,stall,7,0.00015702963296908748,4.7
data,0,stall,8,0.00013332633536640903,4.7
data,0,stall,9,0.0001149784928851869,4.8
data,0,stall,10,0.0001017104985306494,4.8
data,0,stall,11,9.090616337744845e-05,4.9
data,0,stall,12,8.21547137285823e-05,4.8
data,0,stall,13,7.42419340354593e-05,4.9
data,0,stall,14,6.841793940158993e-05,4.8
data,0,stall,15,6.292689360252076e-05,4.9
data,0,stall,16,5.854783914285899e-05,4.8
data,0,stall,17,5.430448263803197e-05,4.8
data,0,stall,18,5.04637219695052e-05,4.8
data,0,stall,19,4.7339743119855156e-05,4.7
data,0,stall,20,4.464097863682985e-05,4.8
data,0,stall,21,4.192285947303398e-05,4.7
data,0,stall,22,3.944609097386646e-05,4.8
data,0,stall,23,3.6911336229139656e-05,4.8
data,0,stall,24,3.4735463444000785e-05,4.8
data,0,stall,25,3.2800838010441345e-05,4.8
data,0,stall,26,3.105147238291763e-05,4.8
data,0,stall,27,2.92882480334247e-05,4.8
data,0,stall,28,2.7589195593517175e-05,4.8
data,0,stall,29,2.6068020685985336e-05,4.9
data,0,stall,30,2.4614851399195555e-05,4.8
data,0,stall,31,2.3212025677091367e-05,4.9
data,0,stall,32,2.2026410723072817e-05,4.9
data,0,stall,33,2.093835167568007e-05,4.9
data,0,stall,34,1.9904183274477786e-05,4.8
data,0,stall,35,1.9097624054338106e-05,4.8
data,0,stall,36,1.8290707774129208e-05,4.9
data,0,stall,37,1.7493657470390674e-05,4.9
data,0,stall,38,1.6734413872214396e-05,4.8
data,0,stall,39,1.6032472910555413e-05,4.8
data,0,stall,40,1.541813569932322e-05,4.9
data,0,stall,41,1.4868263236767808e-05,5.0
data,0,stall,42,1.4294317385625923e-05,4.9
data,0,stall,43,1.373175297969809e-05,4.8
data,0,stall,44,1.3194401946174564e-05,4.9
data,0,stall,45,1.271474523200537e-05,4.8
data,0,stall,46,1.2234590024970859e-05,4.9
data,0,stall,47,1.1773211790946765e-05,4.8
data,0,stall,48,1.1424611299870257e-05,4.9
data,0,stall,49,1.1045326936629667e-05,5.0
data,0,stall,50,1.071220182497491e-05,4.9
data,0,stall,51,1.037662329050647e-05,4.9
data,0,stall,52,1.0077480926523201e-05,4.8
data,0,stall,53,9.791063946253872e-06,4.8
data,0,stall,54,9.473649511525739e-06,4.8
data,0,stall,55,9.18632410429871e-06,4.9
data,0,stall,56,8.913852480838688e-06,4.9
data,0,stall,57,8.666938044150272e-06,4.8
data,0,stall,58,8.442465107577613e-06,4.8
data,0,stall,59,8.19931281724481e-06,4.9
data,0,stall,60,7.966058305862877e-06,4.9
data,0,stall,61,7.751468255685736e-06,4.9
data,0,stall,62,7.537519749864548e-06,4.9
data,0,stall,63,7.338522052208143e-06,4.9
data,0,stall,64,7.1728248822225024e-06,4.9
data,0,stall,65,6.994029403635432e-06,4.9
data,0,stall,66,6.840044572955e-06,4.8
data,0,stall,67,6.672300123007424e-06,4.9
data,0,stall,68,6.507737213005153e-06,4.8
data,0,stall,69,6.358656527032131e-06,4.9
data,0,stall,70,6.215287053117159e-06,4.9
data,0,stall,71,6.081715487414454e-06,4.9
data,0,stall,72,5.95940942021348e-06,4.9
data,0,stall,73,5.85091107959631e-06,5.0
data,0,stall,74,5.743502848205965e-06,5.0
data,0,stall,75,5.644864296338868e-06,4.9
data,0,stall,76,5.533814966829664e-06,4.9
data,0,stall,77,5.412158784674723e-06,4.9
data,0,stall,78,5.3030473582049506e-06,4.9
data,0,stall,79,5.1943614595061494e-06,4.9
data,0,stall,80,5.091954423859929e-06,5.0
data,0,stall,81,5.022729002311798e-06,4.8
data,0,stall,82,4.9289062529433946e-06,4.9
data,0,stall,83,4.83694099795983e-06,5.0
data,0,stall,84,4.7460965372584516e-06,5.0
data,0,stall,85,4.649612751263386e-06,5.0
data,0,stall,86,4.5516844489344725e-06,4.9
data,0,stall,87,4.4664886841983535e-06,5.0
data,0,stall,88,4.392306353179805e-06,4.9
data,0,stall,89,4.329980902758674e-06,5.3
data,0,stall,90,4.328386154984713e-06,4.8
data,0,stall,91,4.327287886671165e-06,4.8
data,0,confirm,92,4.327157748730656e-06,4.0
data,0,confirm,93,4.32705610897134e-06,4.0
