mode,seed,phase,outer,loss,wall_s
data,0,stall,0,0.003453446713170344,21.2
data,0,stall,1,0.0009391532094089445,23.3
data,0,stall,2,0.0004699254738999496,23.8
data,0,stall,3,0.00025655572964050416,23.9
data,0,stall,4,0.00015511359718494558,23.7
data,0,stall,5,0.00010567360540423204,24.1
data,0,stall,6,7.906994533346572e-05,23.9
data,0,stall,7,6.0057531744706634e-05,24.2
data,0,stall,8,4.8399716357602844e-05,24.0
data,0,stall,9,3.9667407837094186e-05,23.8
data,0,stall,10,3.274601003170673e-05,24.0
data,0,stall,11,2.7698237482238893e-05,23.8
data,0,stall,12,2.3663771566410376e-05,23.8
data,0,stall,13,2.066305946973974e-05,24.1
data,0,stall,14,1.8291671059310088e-05,24.1
data,0,stall,15,1.61657551130844e-05,23.9
data,0,stall,16,1.430959914834688e-05,22.7
data,0,stall,17,1.297955181147972e-05,21.9
data,0,stall,18,1.1718733624099334e-05,22.3
data,0,stall,19,1.0583101441644285e-05,22.0
data,0,stall,20,9.554132587992567e-06,22.4
data,0,stall,21,8.693721068039509e-06,22.0
data,0,stall,22,7.936612908281773e-06,22.4
data,0,stall,23,7.2970358780715e-06,22.1
data,0,stall,24,6.68880167182023e-06,22.3
data,0,stall,25,6.148285720917145e-06,21.6
data,0,stall,26,5.619507326457794e-06,21.7
data,0,stall,27,5.139634069869753e-06,22.2
data,0,stall,28,4.761584090804468e-06,22.1
data,0,stall,29,4.416677150400717e-06,22.4
data,0,stall,30,4.088653443527989e-06,21.8
data,0,stall,31,3.7999552425053162e-06,22.4
data,0,stall,32,3.526504357100419e-06,22.1
data,0,stall,33,3.2930863324279853e-06,21.5
data,0,stall,34,3.068622125531759e-06,22.1
data,0,stall,35,2.8529084902286078e-06,21.9
data,0,stall,36,2.658196783933398e-06,21.7
data,0,stall,37,2.478175577339292e-06,21.9
data,0,stall,38,2.3084272521395385e-06,21.5
data,0,stall,39,2.1628173540309878e-06,22.0
data,0,stall,40,2.025638164569876e-06,22.1
data,0,stall,41,1.8982094318083588e-06,22.0
data,0,stall,42,1.7892782050015333e-06,22.2
data,0,stall,43,1.6891532289835721e-06,22.0
data,0,stall,44,1.6020070513382759e-06,22.1
data,0,stall,45,1.5182929879395952e-06,23.0
data,0,stall,46,1.5162828147260478e-06,20.9
data,0,stall,47,1.5150418748991682e-06,20.7
data,0,confirm,48,1.514762673159389e-06,16.6
data,0,confirm,49,1.514551847422697e-06,16.6
