mode,seed,phase,outer,loss,wall_s
physics,8,stall,0,0.015394350798485164,18.6
physics,8,stall,1,0.006525361872404284,21.0
physics,8,stall,2,0.0038246507233349156,23.3
physics,8,stall,3,0.0028358389016915073,22.9
physics,8,stall,4,0.0019108837044583288,20.8
physics,8,stall,5,0.001663823789147023,21.7
physics,8,stall,6,0.0015176883604638707,21.3
physics,8,stall,7,0.0014137257237383074,22.1
physics,8,stall,8,0.0013124224109503973,20.5
physics,8,stall,9,0.0012329852709773946,19.7
physics,8,stall,10,0.0011681937180549576,19.4
physics,8,stall,11,0.0010976434746186854,21.1
physics,8,stall,12,0.0010429323514913385,23.5
physics,8,stall,13,0.0009513385980576196,22.5
physics,8,stall,14,0.0008446331600989725,23.9
physics,8,stall,15,0.000730247709699496,23.0
physics,8,stall,16,0.0006170334514067193,23.1
physics,8,stall,17,0.0005535128914532262,22.7
physics,8,stall,18,0.0005194409572143409,23.1
physics,8,stall,19,0.0004815374731415079,22.9
physics,8,stall,20,0.0004458598636696256,24.2
physics,8,stall,21,0.0004175462093855981,24.4
physics,8,stall,22,0.00038012922252773283,21.8
physics,8,stall,23,0.00034849116415476767,24.7
physics,8,stall,24,0.00031678652456420414,23.4
physics,8,stall,25,0.00028701494071513365,26.5
physics,8,stall,26,0.0002641379185479094,24.9
physics,8,stall,27,0.00023944009925524074,22.7
physics,8,stall,28,0.0002164670368014308,23.7
physics,8,stall,29,0.0001969332121252562,21.6
physics,8,stall,30,0.00018014334892481077,24.9
physics,8,stall,31,0.00016670547150778847,22.1
physics,8,stall,32,0.00015725591696273838,22.5
physics,8,stall,33,0.00014786728427153062,22.0
physics,8,stall,34,0.0001399270030962483,21.1
physics,8,stall,35,0.00013279974743552017,22.8
physics,8,stall,36,0.00012673020649289556,20.5
physics,8,stall,37,0.00012133931760608886,20.6
physics,8,stall,38,0.00011698889300853153,20.3
physics,8,stall,39,0.00011234352405853106,20.8
physics,8,stall,40,0.00010788861865476382,19.3
physics,8,stall,41,0.00010307441474102933,19.3
physics,8,stall,42,9.924191904044725e-05,18.7
physics,8,stall,43,9.539573074844544e-05,19.8
physics,8,stall,44,9.192628824046278e-05,18.6
physics,8,stall,45,8.818780329184675e-05,16.0
physics,8,stall,46,8.492668312773146e-05,17.6
physics,8,stall,47,8.204136485707542e-05,18.2
physics,8,stall,48,7.907267521134374e-05,16.3
physics,8,stall,49,7.65648781382512e-05,16.4
physics,8,stall,50,7.445749547025613e-05,16.1
physics,8,stall,51,7.235635159011741e-05,15.8
physics,8,stall,52,6.998973037125798e-05,15.7
physics,8,stall,53,6.79183554479654e-05,16.2
physics,8,stall,54,6.565764220176284e-05,15.8
physics,8,stall,55,6.38315522985666e-05,14.9
physics,8,stall,56,6.20867695491337e-05,16.3
physics,8,stall,57,6.024740131206472e-05,16.8
physics,8,stall,58,5.88175261908661e-05,14.8
physics,8,stall,59,5.7411385460751394e-05,15.6
physics,8,stall,60,5.6012262070924435e-05,15.7
physics,8,stall,61,5.4636667021331205e-05,14.3
physics,8,stall,62,5.3374099079133584e-05,15.4
physics,8,stall,63,5.180895675394469e-05,15.7
physics,8,stall,64,5.0457976943095006e-05,14.4
physics,8,stall,65,4.93258697726294e-05,15.7
physics,8,stall,66,4.828114421263973e-05,15.8
physics,8,stall,67,4.727011643953229e-05,15.0
physics,8,stall,68,4.624206713379331e-05,15.2
physics,8,stall,69,4.520669391208294e-05,15.2
physics,8,stall,70,4.4174175862823904e-05,14.5
physics,8,stall,71,4.309152321012468e-05,15.4
physics,8,stall,72,4.218469167336837e-05,14.4
physics,8,stall,73,4.1357511806826314e-05,14.9
physics,8,stall,74,4.0543622981163734e-05,14.5
physics,8,stall,75,3.967339385142932e-05,14.1
physics,8,stall,76,3.879466473104462e-05,13.9
physics,8,stall,77,3.7990502286999544e-05,13.8
physics,8,stall,78,3.722439452467286e-05,13.7
physics,8,stall,79,3.6473706225182367e-05,13.1
physics,8,stall,80,3.572748249443516e-05,14.1
physics,8,stall,81,3.497185945536692e-05,14.7
physics,8,stall,82,3.4246304799694345e-05,14.6
physics,8,stall,83,3.3586522990852014e-05,15.4
physics,8,stall,84,3.291382299012701e-05,14.9
physics,8,stall,85,3.2301396539592626e-05,14.2
physics,8,stall,86,3.1729069318543636e-05,15.7
physics,8,stall,87,3.1129642566752844e-05,16.0
physics,8,stall,88,3.0571199590514075e-05,14.7
physics,8,stall,89,2.9992603286472346e-05,14.1
physics,8,stall,90,2.9489790731785488e-05,13.7
physics,8,stall,91,2.900204821646927e-05,13.4
physics,8,stall,92,2.8571600866479698e-05,14.1
physics,8,stall,93,2.8095068700263883e-05,13.7
physics,8,stall,94,2.7615388141789965e-05,13.0
physics,8,stall,95,2.7102638951240196e-05,14.7
physics,8,stall,96,2.6652596133794596e-05,14.3
physics,8,stall,97,2.6264447162828536e-05,14.4
physics,8,stall,98,2.588350063812714e-05,15.3
physics,8,stall,99,2.5440585752804947e-05,15.1
physics,8,stall,100,2.5080227645846035e-05,14.4
physics,8,stall,101,2.4692250399539113e-05,14.5
physics,8,stall,102,2.4276378103826287e-05,13.8
physics,8,stall,103,2.3905474270517484e-05,13.5
physics,8,stall,104,2.3500404113163213e-05,13.6
physics,8,stall,105,2.312719805744833e-05,13.5
physics,8,stall,106,2.272454336506678e-05,13.4
physics,8,stall,107,2.2365678739250876e-05,13.7
physics,8,stall,108,2.2029283289271875e-05,13.6
physics,8,stall,109,2.169396386194765e-05,13.4
physics,8,stall,110,2.1377956728238613e-05,13.5
physics,8,stall,111,2.108461124331511e-05,13.9
physics,8,stall,112,2.0772423435362803e-05,13.1
physics,8,stall,113,2.0476561800659553e-05,13.4
