tag,mode,seed,field,q,width,depth,restarts,final_loss,converged,wall_s,train_med_um,val_med_um,test_med_um,test_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_median,straight_med_um,n_test
up_data_s0,data,0,up,8,50,4,114,5.423325720359098e-06,True,574.1,214.58043502587998,219.60161269282708,204.16340793730114,2859.132254191899,285.6038518770845,0.057621190274470546,1.595429817978205e-07,525183.7153673901,2033
up_data_s1,data,1,up,8,50,4,94,5.759735994701206e-06,True,280.8,238.69903299046769,231.5519978412226,230.100723843492,2782.817544699047,301.9174291280251,0.07227781765997005,2.1183116061791883e-07,525183.7153673901,2033
up_data_s2,data,2,up,8,50,4,134,5.360260871210002e-06,True,399.3,197.4231792860479,199.7642444676444,186.74162280876772,2785.896070742908,294.46712657535556,0.06787037729627521,1.4264387037665773e-07,525183.7153673901,2033
up_physics_s0,physics,0,up,8,50,4,125,1.0501156010219754e-05,True,1032.5,218.3972237093741,223.21854677888808,219.39218966781482,3871.5637595589433,321.55055759756124,0.1035917959223134,2.1985973817676525e-07,525183.7153673901,2033
up_physics_s1,physics,1,up,8,50,4,115,1.4799287932227172e-05,True,623.5,246.56645537555733,258.20766531403194,241.6362903687741,4588.50974281838,302.3963494774762,0.09602110752510162,2.2429577781894795e-07,525183.7153673901,2033
up_physics_s2,physics,2,up,8,50,4,116,1.3958398804789501e-05,True,629.3,250.63683407583426,261.8335408848935,229.52612507526737,4962.20314277802,342.55658433870906,0.10720013802589107,2.3148152708427301e-07,525183.7153673901,2033
up_physics_s3,physics,3,up,8,50,4,131,1.0641231394392349e-05,True,708.0,179.6405245819983,174.87573444476823,170.5533559913306,4183.827533523673,277.14167991257455,0.09668773850490808,1.251291687003893e-07,525183.7153673901,2033
up_physics_s4,physics,4,up,8,50,4,152,1.3492989101882134e-05,True,1231.8,311.8828445032449,322.27533439902345,296.4944401089724,4419.658061263134,358.2300402294436,0.09018730187164078,3.2009546704419477e-07,525183.7153673901,2033
up_physics_s5,physics,5,up,8,50,4,123,1.2989251506408716e-05,True,1059.6,310.01828993808545,317.03813697586014,279.0668081245258,4510.699548797037,362.6019252816377,0.09118624681909299,3.2459380934720455e-07,525183.7153673901,2033
up_physics_s6,physics,6,up,8,50,4,114,1.6531073907724062e-05,True,639.7,244.74114389536794,268.3167742906676,230.5093341119573,4719.061804125792,313.3975642201676,0.08953952284528055,2.294424056605791e-07,525183.7153673901,2033
up_physics_s7,physics,7,up,8,50,4,124,1.0687972637508567e-05,True,698.0,247.81929063965435,245.57174319676278,229.2759288210675,4302.347823597821,302.44371553138194,0.0741318478359454,2.484663420865993e-07,525183.7153673901,2033
up_physics_s8,physics,8,up,8,50,4,133,8.762549195788639e-06,True,1156.9,210.03573283324073,221.15823020232028,212.12328003935,4465.752062998487,249.6946546845038,0.08529529530432178,1.9908949043510698e-07,525183.7153673901,2033
up_physics_s9,physics,9,up,8,50,4,154,7.109609592074818e-06,True,825.1,223.5161932934524,240.8193441611246,215.90581003329135,4391.075168945992,247.50534040913408,0.07058275989574314,2.2103057703653927e-07,525183.7153673901,2033
