mode,seed,phase,outer,loss,wall_s
physics,6,stall,0,0.0042763780602356515,6.0
physics,6,stall,1,0.0018214397913323848,5.3
physics,6,stall,2,0.0012463603953002725,5.3
physics,6,stall,3,0.0008184671986787468,5.3
physics,6,stall,4,0.0006512730135739899,5.4
physics,6,stall,5,0.0004719282250545691,5.6
physics,6,stall,6,0.00036046641643130674,5.6
physics,6,stall,7,0.00030841388592038794,5.6
physics,6,stall,8,0.00026349573741346307,5.2
physics,6,stall,9,0.00023203287224078819,5.2
physics,6,stall,10,0.0002087174126955203,5.3
physics,6,stall,11,0.0001869761217702548,5.5
physics,6,stall,12,0.00016594663846049613,5.6
physics,6,stall,13,0.00015113350129497156,5.4
physics,6,stall,14,0.00013929589052317037,5.4
physics,6,stall,15,0.00012952255037058905,5.5
physics,6,stall,16,0.00012259839176621817,5.5
physics,6,stall,17,0.00011636444437089727,5.5
physics,6,stall,18,0.00011151178099581167,5.7
physics,6,stall,19,0.00010725473704905826,5.5
physics,6,stall,20,0.00010356266810763457,5.3
physics,6,stall,21,0.00010025819415991882,5.5
physics,6,stall,22,9.703280439100628e-05,5.4
physics,6,stall,23,9.378401250483827e-05,5.4
physics,6,stall,24,9.115373503015668e-05,5.5
physics,6,stall,25,8.867814010806037e-05,5.5
physics,6,stall,26,8.624828080073003e-05,5.3
physics,6,stall,27,8.36800147198731e-05,5.3
physics,6,stall,28,8.151120363915185e-05,5.2
physics,6,stall,29,7.932258462213661e-05,5.5
physics,6,stall,30,7.728924354163483e-05,5.5
physics,6,stall,31,7.54813486125349e-05,5.4
physics,6,stall,32,7.335014981497692e-05,5.4
physics,6,stall,33,7.142647419137347e-05,5.4
physics,6,stall,34,6.98042097654548e-05,5.6
physics,6,stall,35,6.81226138179e-05,5.5
physics,6,stall,36,6.656516432692393e-05,5.5
physics,6,stall,37,6.507090619309428e-05,5.4
physics,6,stall,38,6.371930746868866e-05,5.4
physics,6,stall,39,6.223872540070665e-05,5.4
physics,6,stall,40,6.092850910285201e-05,6.3
physics,6,stall,41,5.974310351390543e-05,5.4
physics,6,stall,42,5.844131634385996e-05,5.5
physics,6,stall,43,5.672618338952486e-05,5.6
physics,6,stall,44,5.494143122299075e-05,5.4
physics,6,stall,45,5.339628906235471e-05,6.4
physics,6,stall,46,5.216129084670334e-05,5.4
physics,6,stall,47,5.09235447135539e-05,5.4
physics,6,stall,48,4.979152099252952e-05,5.3
physics,6,stall,49,4.874639856973247e-05,5.4
physics,6,stall,50,4.764694873622002e-05,5.5
physics,6,stall,51,4.6683088404316575e-05,5.3
physics,6,stall,52,4.5773306622683065e-05,5.4
physics,6,stall,53,4.4858071319640165e-05,5.5
physics,6,stall,54,4.3877375584865204e-05,5.5
physics,6,stall,55,4.2957562616577704e-05,5.5
physics,6,stall,56,4.2024775812917777e-05,5.5
physics,6,stall,57,4.1145576019375725e-05,6.3
physics,6,stall,58,4.0141628010766736e-05,5.3
physics,6,stall,59,3.925953809285427e-05,5.3
physics,6,stall,60,3.832352441038548e-05,5.3
physics,6,stall,61,3.747494084294829e-05,5.4
physics,6,stall,62,3.659232665100662e-05,5.5
physics,6,stall,63,3.5765450220746556e-05,6.3
physics,6,stall,64,3.491952533095244e-05,6.3
physics,6,stall,65,3.403545096972447e-05,6.3
physics,6,stall,66,3.330638955929766e-05,5.4
physics,6,stall,67,3.246890846274834e-05,5.5
physics,6,stall,68,3.169816184935825e-05,5.5
physics,6,stall,69,3.095378375247252e-05,5.5
physics,6,stall,70,3.025491138089398e-05,5.4
physics,6,stall,71,2.967682740829791e-05,6.3
physics,6,stall,72,2.904058087602976e-05,7.0
physics,6,stall,73,2.844847170931507e-05,6.4
physics,6,stall,74,2.7910157634209114e-05,5.8
physics,6,stall,75,2.738477335764819e-05,5.7
physics,6,stall,76,2.682469837760205e-05,5.6
physics,6,stall,77,2.6359625045969104e-05,6.2
physics,6,stall,78,2.595106871863088e-05,7.0
physics,6,stall,79,2.541702681585843e-05,6.5
physics,6,stall,80,2.4887968046819128e-05,5.6
physics,6,stall,81,2.4405529348478158e-05,5.7
physics,6,stall,82,2.3960351780433685e-05,5.6
physics,6,stall,83,2.353310668271765e-05,5.6
physics,6,stall,84,2.309886984994645e-05,7.1
physics,6,stall,85,2.2754309030028688e-05,5.7
physics,6,stall,86,2.2398704678756358e-05,5.5
physics,6,stall,87,2.2065238978840175e-05,5.6
physics,6,stall,88,2.173342543742891e-05,5.5
physics,6,stall,89,2.1397545190566512e-05,6.3
physics,6,stall,90,2.1121719575774132e-05,5.5
physics,6,stall,91,2.0826343532569026e-05,5.5
physics,6,stall,92,2.0535738334607804e-05,5.5
physics,6,stall,93,2.0276478129626898e-05,5.6
physics,6,stall,94,2.0031829741357645e-05,5.6
physics,6,stall,95,1.9767219441224017e-05,6.4
physics,6,stall,96,1.9507575444029553e-05,5.5
physics,6,stall,97,1.9297083148020094e-05,6.8
physics,6,stall,98,1.9065967735426663e-05,5.4
physics,6,stall,99,1.8841184534943293e-05,5.6
physics,6,stall,100,1.860541184867646e-05,5.6
physics,6,stall,101,1.8390194471833072e-05,5.2
physics,6,stall,102,1.820305152750034e-05,5.4
physics,6,stall,103,1.80090542351085e-05,5.4
physics,6,stall,104,1.7804808623441556e-05,5.6
physics,6,stall,105,1.7611197578704236e-05,5.5
physics,6,stall,106,1.7422467417864037e-05,6.1
physics,6,stall,107,1.7233147030755412e-05,5.5
physics,6,stall,108,1.7037934171599403e-05,5.3
physics,6,stall,109,1.685311482429131e-05,5.5
physics,6,stall,110,1.6687279846436505e-05,5.5
physics,6,stall,111,1.6532110882280195e-05,5.6
physics,6,confirm,112,1.6531454433301303e-05,5.0
physics,6,confirm,113,1.6531073907724062e-05,5.0
