leg,EVT,MCKEY,P_GeV,ETA,direction,p_band,z0,z1,measurement,step_mm,reference_step_mm,integrator,field,pos_um,slope_urad
0,49,3770,1.9274177551269531,2.2583651542663574,1,1-2,2641.846435546875,7827.80712890625,step halving,0.8,0.4,RK6,v8r1.up,0.0009593019569820171,0.0003846321594558333
1,151,4960,1.977277398109436,2.0418007373809814,1,1-2,2663.153564453125,7822.8486328125,step halving,0.8,0.4,RK6,v8r1.up,0.00034651775138172525,0.0001225152201911328
2,7,4597,1.9552112817764282,2.8423359394073486,1,1-2,2648.153564453125,7892.9833984375,step halving,0.8,0.4,RK6,v8r1.up,0.0006392374416464008,0.0001971619534302249
3,63,6746,1.859548568725586,2.318098545074463,1,1-2,2663.153564453125,7828.5,step halving,0.8,0.4,RK6,v8r1.up,0.0004432716309565876,0.0001778698299759185
4,10,5301,1.829852819442749,2.3290703296661377,1,1-2,2663.153564453125,7827.04736328125,step halving,0.8,0.4,RK6,v8r1.up,0.00040437186044073314,0.00016858170415190443
5,98,3520,1.8783323764801025,2.523362874984741,1,1-2,2663.153564453125,7826.3984375,step halving,0.8,0.4,RK6,v8r1.up,0.00041418570617679507,0.00017257217876931463
6,150,3461,1.8092975616455078,2.4818549156188965,1,1-2,2663.153564453125,7824.615234375,step halving,0.8,0.4,RK6,v8r1.up,0.0004413506076161866,0.00018304102678001755
7,28,3414,1.767580270767212,2.086083173751831,1,1-2,2641.846435546875,7827.38232421875,step halving,0.8,0.4,RK6,v8r1.up,0.0010844418056876748,0.0004312765145009223
8,15,3448,1.8131660223007202,2.0168025493621826,1,1-2,2648.153564453125,7826.279296875,step halving,0.8,0.4,RK6,v8r1.up,0.00038454146533695166,0.00015111284445978868
9,69,2486,1.9027847051620483,2.1481149196624756,1,1-2,2641.846435546875,7829.435546875,step halving,0.8,0.4,RK6,v8r1.up,0.0009772367661753378,0.0003290244743325843
10,190,2779,1.9819834232330322,2.454948663711548,1,1-2,2663.153564453125,7826.78076171875,step halving,0.8,0.4,RK6,v8r1.up,0.0003726620434463257,0.00014993606356483724
