q,stratum,direction,n,n_converged,converged_frac,median_abs_dz_mm,endpoint_med_um,endpoint_p95_um,endpoint_mean_um,slope_err_med_mrad,median_n_eval,wall_s
2,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,13.0,11.497386620379984
2,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,13.0,5.850150139071047
2,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,13.0,5.647236481308937
2,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5347723092418164e-09,6.109879251842143e-10,6.938893903907228e-14,13.0,11.553967111743987
2,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.246817307540507e-10,6.938893903907228e-14,13.0,5.764006173005328
2,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5361933947133354e-09,7.972941196143779e-10,6.938893903907228e-14,13.0,5.789960938738659
2,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.183231456205249e-09,7.969215864989095e-06,3.5767576925249678e-06,9.992007221626409e-13,25.0,18.241756584495306
2,5-20 mm,+1,994,994,1.0,10.361438283999162,3.369304835132425e-09,1.1077333716968948e-05,3.245593433736679e-06,1.051242426441945e-12,25.0,8.999384601600468
2,5-20 mm,-1,1006,1006,1.0,9.801871192095646,3.0322411248562275e-09,2.9679512181246537e-06,3.903971681824728e-06,9.43689570931383e-13,25.0,9.242371982894838
2,50-200 mm,both,2000,2000,1.0,101.91578686308067,0.0032110356933401363,0.12990599686348844,0.03350380017269022,6.585663021516086e-05,14.0,14.637123686028644
2,50-200 mm,+1,968,968,1.0,103.91280090297384,0.003585345858425626,0.14087554790762621,0.041549236422137606,6.717187327892615e-05,14.0,6.962237044237554
2,50-200 mm,-1,1032,1032,1.0,99.8375629761332,0.0030577072323012544,0.11313706826716616,0.025957305706154305,6.44301445459905e-05,14.0,7.67488664179109
2,500-2000 mm,both,2000,2000,1.0,997.8958374614399,12.785494020459254,511.56646333198796,140.511914719785,0.009255244993663925,16.0,14.139390113996342
2,500-2000 mm,+1,988,988,1.0,994.6021274047333,15.527832273924957,596.2382066740089,159.3450177849802,0.009804816244705916,16.0,6.98295318800956
2,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,10.837624296613058,414.7709396078411,122.1254465098909,0.00873380345411262,16.0,7.156436925986782
2,full crossing,both,2000,2000,1.0,5174.685791015625,9255.981777696734,55839.126783410655,17922.612069569277,3.8805214013894194,18.0,14.984192883828655
2,full crossing,+1,1001,1001,1.0,5174.714111328125,5218.815888938621,18894.170891891008,7007.780132164416,3.9188225406874277,18.0,7.553376785479486
2,full crossing,-1,999,999,1.0,5174.636474609375,25636.33176929282,63471.28260372502,28859.29552236434,3.8347327864938254,17.0,7.430816098349169
4,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,21.0,17.150271391728893
4,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,21.0,8.7003060313873
4,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,21.0,8.449965360341594
4,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3486768085945187e-10,1.5347723092418164e-09,4.647209266711583e-10,6.938893903907228e-14,21.0,17.650216846959665
4,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.247385741729115e-10,6.938893903907228e-14,21.0,8.808155826060101
4,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5361933947133354e-09,5.04703279169405e-10,6.938893903907228e-14,21.0,8.842061020899564
4,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.069544618483633e-09,1.704101748600803e-06,7.216684108080074e-07,9.43689570931383e-13,42.0,28.58654284104705
4,5-20 mm,+1,994,994,1.0,10.361438283999162,3.240074875066057e-09,2.1175784195581727e-06,7.380637082943008e-07,9.992007221626409e-13,41.0,14.084506021346897
4,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.9416469260468148e-09,8.544311924651993e-07,7.054686834706558e-07,8.777700788442644e-13,42.0,14.502036819700152
4,50-200 mm,both,2000,2000,1.0,101.91578686308067,0.0007494391702778103,0.03078817786388299,0.007043971710287088,1.6109981314238464e-05,22.0,21.62395571428351
4,50-200 mm,+1,968,968,1.0,103.91280090297384,0.0007911136989946499,0.03304931665013551,0.008012197505544825,1.608537073677363e-05,22.0,10.345863295486197
4,50-200 mm,-1,1032,1032,1.0,99.8375629761332,0.0007180778247573016,0.025773427402242477,0.006135790925587971,1.6137737004345842e-05,22.0,11.278092418797314
4,500-2000 mm,both,2000,2000,1.0,997.8958374614399,1.2183694523670852,24.12479932784812,18.857868460340868,0.0023158680807146455,24.0,19.815049326280132
4,500-2000 mm,+1,988,988,1.0,994.6021274047333,1.2237757267286042,21.871750179792567,20.352727265776338,0.002249286455667087,24.0,9.779158980585635
4,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,1.2035306275040014,24.71892134894909,17.398460851872244,0.002380396960056149,24.0,10.035890345694497
4,full crossing,both,2000,2000,1.0,5174.685791015625,3617.29532583486,24976.38600674056,7049.519371770689,1.4948346324629576,26.0,20.984867982100695
4,full crossing,+1,1001,1001,1.0,5174.714111328125,4923.009431658556,37583.934594191305,9474.325054354933,1.5270935235799366,26.0,10.517927603563294
4,full crossing,-1,999,999,1.0,5174.636474609375,2784.4364946241813,15295.196733393772,4619.8592233554455,1.4664848055711937,26.0,10.466940378537402
6,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,29.0,23.149040104122832
6,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,29.0,11.74360998114571
6,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,29.0,11.405430122977123
6,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5077716852829314e-09,4.4534264991014094e-10,6.938893903907228e-14,29.0,24.636304104235023
6,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4779288903810084e-09,4.2371539263341695e-10,6.938893903907228e-14,29.0,12.323376451153308
6,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5361933947133354e-09,4.669699071868649e-10,6.938893903907228e-14,29.0,12.312927653081715
6,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.069544618483633e-09,6.462130386353227e-07,3.6645819101455146e-07,9.43689570931383e-13,58.0,38.61410327791236
6,5-20 mm,+1,994,994,1.0,10.361438283999162,3.183231456205249e-09,9.103412884625641e-07,3.81065383808363e-07,9.992007221626409e-13,57.0,19.02832266362384
6,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.9558577807620168e-09,3.921876157164661e-07,3.520252390890557e-07,8.777700788442644e-13,58.0,19.585780614288524
6,50-200 mm,both,2000,2000,1.0,101.91578686308067,0.00034830319073364535,0.01459630477995688,0.003316396996220161,6.977435833971368e-06,30.0,28.74326013517566
6,50-200 mm,+1,968,968,1.0,103.91280090297384,0.0003790623281929584,0.01670937819397977,0.0040531559424730815,7.2016892171955504e-06,30.0,13.712854678044096
6,50-200 mm,-1,1032,1032,1.0,99.8375629761332,0.0003333350164780313,0.012591189134880637,0.002625328527254244,6.80874394018427e-06,30.0,15.030405457131565
6,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.8251729797166263,16.26593830844169,10.30550231945279,0.0014469135398223476,32.0,25.959607700584456
6,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.8397222589948683,18.833769861435925,11.73005798947054,0.0015204827654990982,32.0,12.797874794807285
