stratum,direction,n,median_abs_dz_mm,endpoint_med_um,endpoint_p95_um,endpoint_mean_um,slope_err_med_mrad
0.05-0.2 mm,both,2000,0.09822287894675868,0.0001305794636863311,0.0010247288088294226,0.00026612631155938093,0.0028501265529577713
0.05-0.2 mm,+1,1017,0.09751292959136826,0.0001273499492526753,0.0009510493043762817,0.0002605581899664858,0.0028875258573646256
0.05-0.2 mm,-1,983,0.0992307299534736,0.00013178674862501794,0.0010657402455649383,0.0002718870233192735,0.0027600914635824564
0.5-2 mm,both,2000,0.9965707658995944,0.013896570703053612,0.10213702244037388,0.027563145979163206,0.028670121001857576
0.5-2 mm,+1,1000,1.002988498170338,0.014008352798633439,0.09799488933595055,0.026965445009778714,0.029531240337200837
0.5-2 mm,-1,1000,0.9883814176955703,0.013845175832472023,0.11024656512716999,0.0281608469485477,0.028039540941354746
5-20 mm,both,2000,10.00463580137827,1.4150646893398289,9.775437526485575,2.745732195166517,0.2911846303381496
5-20 mm,+1,994,10.361438283999162,1.4635983336042102,10.222425275981076,2.88206135750515,0.2888746562244686
5-20 mm,-1,1006,9.801871192095646,1.3915581564276636,9.230883588987382,2.6110292256192,0.29626183136669154
50-200 mm,both,2000,101.91578686308067,141.05070694597543,1045.5226256671735,278.5166336131945,2.944590954303446
50-200 mm,+1,968,103.91280090297384,143.455285236044,998.2619551236222,277.21889352180483,2.9411287056478885
50-200 mm,-1,1032,99.8375629761332,140.25341367157296,1056.3843249111342,279.7338936989166,2.9526709742197856
500-2000 mm,both,2000,997.8958374614399,15985.931709538963,106125.3039298609,28993.459189942576,33.62577993300752
500-2000 mm,+1,988,994.6021274047333,16359.267616175515,101097.95298770821,29291.47108762754,35.18843778077449
500-2000 mm,-1,1012,999.4919989535956,15658.961022059259,108205.77852385596,28702.51476809204,32.76224322444105
full crossing,both,2000,5174.685791015625,456075.1746171858,1297360.3858854584,540792.1660974085,176.20726796492013
full crossing,+1,1001,5174.714111328125,461912.954381598,1279196.8305854741,540432.9547955956,175.8133093335224
full crossing,-1,999,5174.636474609375,449115.8207340198,1317811.5590772522,541152.0965409667,176.44715110117033
