mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,1.1102448376844993e-08,15.4
physics,0,stall,1,6.59414719314874e-09,16.5
physics,0,stall,2,6.3211048036964546e-09,15.4
physics,0,stall,3,6.150231077179497e-09,15.5
physics,0,stall,4,6.009112776726709e-09,17.0
physics,0,stall,5,5.886610743175897e-09,17.6
physics,0,stall,6,5.779116491128949e-09,17.2
physics,0,stall,7,5.6828803963570695e-09,17.9
physics,0,stall,8,5.595658151770565e-09,18.7
physics,0,stall,9,5.516359445138835e-09,18.8
physics,0,stall,10,5.442922662245747e-09,18.5
physics,0,stall,11,5.374519800967007e-09,18.8
physics,0,stall,12,5.311181786371999e-09,19.1
physics,0,stall,13,5.251607567806368e-09,20.1
physics,0,stall,14,5.195350290323333e-09,20.4
physics,0,stall,15,5.14242069728186e-09,20.5
physics,0,stall,16,5.097297706214757e-09,20.5
physics,0,stall,17,5.054313189481553e-09,20.2
physics,0,confirm,18,5.0011519576349855e-09,16.6
physics,0,confirm,19,4.955055952540127e-09,16.1
physics,0,confirm,20,4.917177092190513e-09,15.7
physics,0,stall,21,4.880521664299115e-09,16.4
physics,0,stall,22,4.851561793702764e-09,15.9
physics,0,confirm,23,4.81668225172104e-09,15.6
physics,0,confirm,24,4.790897754441088e-09,15.3
