mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,0.0003826504121625632,13.2
physics,0,stall,1,0.0001592972938791168,13.9
physics,0,stall,2,8.322495542928904e-05,13.7
physics,0,stall,3,5.186223258541426e-05,13.6
physics,0,stall,4,3.6625119640177115e-05,13.9
physics,0,stall,5,2.9348811682254847e-05,14.0
physics,0,stall,6,2.4763697981916537e-05,13.8
physics,0,stall,7,2.1723646766122706e-05,13.9
physics,0,stall,8,1.9126003315567116e-05,13.8
physics,0,stall,9,1.7055448917222733e-05,13.8
physics,0,stall,10,1.5510763614842557e-05,13.7
physics,0,stall,11,1.4135394952823783e-05,13.7
physics,0,stall,12,1.2950111053313167e-05,14.0
physics,0,stall,13,1.1842339823418235e-05,13.7
physics,0,stall,14,1.0997209301286289e-05,13.7
physics,0,stall,15,1.0274054983495352e-05,13.7
physics,0,stall,16,9.692549476186098e-06,13.9
physics,0,stall,17,9.145838323441862e-06,13.8
physics,0,stall,18,8.704248467551282e-06,13.7
physics,0,stall,19,8.321693078656894e-06,13.9
physics,0,stall,20,7.989494804839894e-06,13.8
physics,0,stall,21,7.681507229186999e-06,13.8
physics,0,stall,22,7.408802313182704e-06,13.8
physics,0,stall,23,7.172885685893089e-06,13.9
physics,0,stall,24,6.956896030013957e-06,14.0
physics,0,stall,25,6.768618818903472e-06,13.7
physics,0,stall,26,6.583368201483661e-06,13.7
physics,0,stall,27,6.403507666997318e-06,13.7
physics,0,stall,28,6.225730466954455e-06,13.7
physics,0,stall,29,6.067584044885553e-06,13.9
physics,0,stall,30,5.9241548215104994e-06,13.9
physics,0,stall,31,5.778627760293395e-06,14.1
physics,0,stall,32,5.644288942285763e-06,13.8
physics,0,stall,33,5.510790219168894e-06,13.8
physics,0,stall,34,5.3871280593072645e-06,14.0
physics,0,stall,35,5.2651057386273084e-06,13.8
physics,0,stall,36,5.14744593074218e-06,13.9
physics,0,stall,37,5.048606656601906e-06,14.1
physics,0,stall,38,4.946574897361756e-06,14.0
physics,0,stall,39,4.847749009645569e-06,13.9
physics,0,stall,40,4.754766772535038e-06,14.1
physics,0,stall,41,4.669280613700767e-06,14.0
physics,0,stall,42,4.588366473503657e-06,13.9
physics,0,stall,43,4.510143162238117e-06,14.2
physics,0,stall,44,4.435234639248279e-06,14.4
physics,0,stall,45,4.366473083024938e-06,14.5
physics,0,stall,46,4.296104707426328e-06,14.3
physics,0,stall,47,4.2294679515969425e-06,14.6
physics,0,stall,48,4.167212124208621e-06,14.6
physics,0,stall,49,4.108312449517182e-06,14.3
physics,0,stall,50,4.046611222389609e-06,14.4
physics,0,stall,51,3.991760604947521e-06,14.1
physics,0,stall,52,3.929242829449778e-06,14.3
physics,0,stall,53,3.878519542404855e-06,14.0
physics,0,stall,54,3.8254018973561115e-06,14.9
physics,0,stall,55,3.777991263842141e-06,15.6
physics,0,stall,56,3.735218851753883e-06,14.8
physics,0,stall,57,3.6985681546168097e-06,15.2
physics,0,stall,58,3.656013694263871e-06,15.1
physics,0,stall,59,3.6136494389487108e-06,15.3
physics,0,stall,60,3.5706373463064814e-06,15.2
physics,0,stall,61,3.5351101191082714e-06,15.6
physics,0,stall,62,3.5055429851773303e-06,15.0
physics,0,stall,63,3.4692240497898574e-06,15.4
physics,0,stall,64,3.4305839914757736e-06,15.7
physics,0,stall,65,3.3941202811899556e-06,15.0
physics,0,stall,66,3.3594447210328474e-06,15.4
physics,0,stall,67,3.342563724052108e-06,16.0
physics,0,stall,68,3.3414120143430027e-06,15.4
physics,0,stall,69,3.3405940105248486e-06,15.5
physics,0,confirm,70,3.3403871957220236e-06,14.1
physics,0,confirm,71,3.3402196123342957e-06,14.2
