outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
0,stall,5.560947375184824e-06,1432.6502432816178,1426.8525853229903,1406.7291974546094,2830.036139221112,2635.347288532671,0.4868477407068972,8.7
1,stall,1.5215872645986157e-06,355.2390042799516,363.5101423310516,359.24751242899333,1413.4414626500982,1297.2093773046665,0.20619911978539407,9.2
2,stall,8.493846027614671e-07,313.72946401796753,316.60888347494165,320.80942702955895,1177.4078719149413,1021.2660973370845,0.15847343159286487,9.4
3,stall,5.587083651322253e-07,208.9948937438919,210.48301117411938,214.3843126198135,874.7605782088812,823.0035177467073,0.12055621448095466,9.5
4,stall,3.9217837775447416e-07,192.41341729740924,195.5677458234959,194.6509282853981,759.66145104137,680.2539331455935,0.10402777249891859,9.5
5,stall,3.124397954023011e-07,158.43728359189413,162.92219673073305,157.89231266173687,678.0447254302914,625.5457629077996,0.10878074692013961,9.6
6,stall,2.587262358210268e-07,156.86832539697093,161.268786536084,149.47502821416947,698.799922227931,616.2004822454777,0.10549268907254772,10.2
7,stall,2.2100932154566102e-07,150.0041247887225,154.07066932812086,146.35117963769062,612.8974048572671,531.0957233960347,0.10734768597481237,10.3
8,stall,2.128578655838396e-07,147.0034188328988,148.1403980492928,141.47904477974294,616.3326946711635,529.0443045848642,0.10517056034908823,11.0
9,stall,2.1186711218356743e-07,146.88638270834707,147.67540031448334,140.42079941484076,622.9739049496571,532.3385517110411,0.10513797690966942,11.0
10,stall,2.1114376101642567e-07,145.99279847696778,147.3259306528405,140.22230487195486,627.7846931279184,531.6948909284336,0.10493583789716876,11.0
11,stall,2.1057198288444372e-07,145.58499856557327,146.73162330529976,140.35294407310062,630.8646183661933,528.9953624315474,0.10537059014444072,10.8
12,stall,2.1008759482724438e-07,144.9215271444757,146.44911327820864,139.9036783755605,633.0642412713497,529.5452850827162,0.1051517126390289,10.7
13,stall,2.096740108435093e-07,144.39263030618577,146.06084385707163,139.50194160224783,634.2809346871467,530.9722283176009,0.10493707716599521,10.6
14,stall,2.0930979758697532e-07,143.75630825770713,145.46389705833462,139.18385430793023,633.1977532810181,531.9519796942736,0.10469077031463603,10.4
15,stall,2.0898620996792563e-07,143.48277266657306,145.0676379187712,138.70820430098263,631.3705164423601,532.69742971343,0.10444341012794123,10.3
16,stall,2.086971009398204e-07,143.06795742835732,144.54269918479667,138.81401320981013,630.6147995981539,532.5202916730951,0.10421000170046657,10.2
17,stall,2.084362221227188e-07,142.91933683099955,144.33364631554468,138.81993068955012,630.6118743419653,532.2545734610138,0.10389262101601071,10.1
18,stall,2.0819800664872672e-07,142.7453377915242,144.22261794676672,138.79533756010431,630.5254844186377,532.1340945824048,0.10356749421483458,10.1
19,stall,2.0798078750409772e-07,142.65616356453847,144.10795778150032,138.430000671093,630.568823583414,531.8577783767638,0.10345176681387375,9.9
20,stall,2.0777890185943307e-07,142.42989420174013,143.9493978475639,138.18294549713528,630.4503837733089,532.4799129839797,0.10325013811779415,9.9
21,stall,2.075927843270659e-07,142.01440548367827,143.5618579516813,138.24703112840098,630.7182319489347,533.7710182492182,0.10308171475661987,9.8
22,confirm,2.0754973318436375e-07,142.08245078228288,144.00431341368858,138.3020333693139,630.8113889033573,533.630250247623,0.10303443785568411,9.0
23,confirm,2.0750871630677094e-07,142.0621292252804,143.86639545409707,138.34575512339597,630.896385803796,533.4837073340886,0.10301398089589131,8.9
