phase,restart,loss,rel_gain,loss_over_start,wall_s,train_own_um,test_own_um,test_straight_um
as_trained,0,4.426686982598894e-09,0.0,1.0,0.05,,,
as_trained,1,4.426686982598894e-09,0.0,1.0,0.04,8.208623681412064,7.8796762288391164,11.009663130721492
rescaled,0,1.032355644407943e-09,0.7667881988344588,0.23321180116554124,10.31,,,
rescaled,1,5.013785858997567e-10,0.5143354050364128,0.11326271495379121,10.98,,,
rescaled,2,3.0162571821257786e-10,0.3984072581175545,0.06813802724210112,11.01,,,
rescaled,3,2.0109103753018276e-10,0.33330937851771947,0.04542698372861296,11.15,,,
rescaled,4,1.514846236930811e-10,0.24668634886154972,0.034220766972808396,11.3,1.7602904860041235,1.7614022991949696,11.009663130721492
rescaled,5,1.1803369650620038e-10,0.22082061117077298,0.026664116295140244,11.1,,,
rescaled,6,9.909812554747481e-11,0.16042512874898293,0.02238652200551452,11.57,,,
rescaled,7,8.394093351802885e-11,0.15295134943985014,0.018962473255506172,11.39,,,
rescaled,8,7.298314380869062e-11,0.13054167079264986,0.016487080314371457,11.43,,,
rescaled,9,6.454232728958215e-11,0.11565432891236127,0.014580278104888624,11.54,1.6188516769375383,1.6115957468230135,11.009663130721492
rescaled,10,5.701639532673255e-11,0.11660459544761986,0.012880150674954297,11.4,,,
rescaled,11,5.13455757934085e-11,0.09945945373830467,0.011599097924756286,11.14,,,
rescaled,12,4.671443359145852e-11,0.09019554519329212,0.01055291096368251,11.41,,,
rescaled,13,4.282468586406045e-11,0.08326650733723737,0.009674206925495827,11.27,,,
rescaled,14,3.975204147401147e-11,0.07174937370941983,0.00898008863745617,10.73,1.565688134135712,1.585037691157254,11.009663130721492
rescaled,15,3.709280937934915e-11,0.066895485013036,0.008379361252593486,10.84,,,
rescaled,16,3.469153752599104e-11,0.06473685583640318,0.007836907751183198,10.86,,,
rescaled,17,3.262761044420683e-11,0.05949367566190765,0.007370661303242015,11.11,,,
rescaled,18,3.099344290549485e-11,0.050085418958473925,0.007001498643868127,10.94,,,
rescaled,19,2.9617872186351736e-11,0.04438263678344816,0.006690753672617524,11.02,1.3390829250283787,1.3703801737392496,11.009663130721492
rescaled,20,2.8442007149943695e-11,0.039701198958846676,0.006425122729876301,11.29,,,
rescaled,21,2.7505944228214422e-11,0.03291128213260174,0.00621366370297675,11.18,,,
rescaled,22,2.655820622918654e-11,0.034455752224485825,0.005999567246020702,11.0,,,
rescaled,23,2.5586730186601598e-11,0.0365791286580689,0.005780108303835775,10.82,,,
rescaled,24,2.4636119806530986e-11,0.03715247603495644,0.005565362968598064,11.08,1.1740139275957517,1.213027730216254,11.009663130721492
rescaled,25,2.382446947379378e-11,0.032945542525005846,0.005382009066249023,10.94,,,
rescaled,26,2.314981215690448e-11,0.028317831699522438,0.005229602239305679,11.18,,,
rescaled,27,2.2494762809252798e-11,0.028296097748521497,0.005081624903156399,11.04,,,
rescaled,28,2.183627710840076e-11,0.029272844814401927,0.004932871285961302,10.88,,,
rescaled,29,2.12557866363954e-11,0.026583765589878683,0.004801736992010263,10.91,1.0955585051988237,1.1484754108295192,11.009663130721492
rescaled,30,2.0761539115461836e-11,0.02325237495973384,0.004690085203014015,10.96,,,
rescaled,31,2.023485396571965e-11,0.02536830948867106,0.00457110567005572,10.91,,,
rescaled,32,1.975361764401654e-11,0.023782544836665687,0.004462393144504482,11.13,,,
rescaled,33,1.9268247202217062e-11,0.024571217816727296,0.004352746710566993,11.12,,,
rescaled,34,1.881814368284573e-11,0.02335985804248675,0.0042510671653132465,11.17,1.070116140951427,1.1104428111625708,11.009663130721492
rescaled,35,1.836983223755526e-11,0.023823361796261593,0.0041497924542137805,11.06,,,
rescaled,36,1.7997300899238353e-11,0.020279517716841482,0.004065636664617337,10.93,,,
rescaled,37,1.7690866965232428e-11,0.01702666059325001,0.0039964124490334246,11.12,,,
rescaled,38,1.7396938062536944e-11,0.01661472573803972,0.003930013152256647,11.58,,,
rescaled,39,1.7101178250911528e-11,0.01700068199140821,0.0038632002484330795,11.35,1.0311718173170448,1.0944232528800057,11.009663130721492
