N,q,variable,lo,hi,n,pos_med_um,pos_p90_um,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad
1,16,p_gev,1,2,5,2789.682374945187,6305.427361164704,2789.682374945187,191.95060143385945,1.3571280507611583,0.6318062012138359
1,16,p_gev,2,5,500,387.35390182259266,1649.045599250031,272.55745422263544,274.33790890192887,0.13987337770424157,0.12422428395564462
1,16,p_gev,5,10,430,166.4859017423197,846.6790589954373,118.14258417931711,111.21938697269229,0.07315894209831975,0.05433411722530722
1,16,p_gev,10,25,383,148.56258719566995,310.43078998156375,130.45106887432212,67.30039768271467,0.050796740106773264,0.03144521045519988
1,16,p_gev,25,200,134,238.2995366559282,750.8237547052403,216.698295735398,84.6871301008747,0.11751067577518703,0.024490694782012146
1,16,eta,2,2.5,158,1240.90993888845,5175.153668957866,789.8205398738725,967.5496775750503,0.4058564462424419,0.44423826967955604
1,16,eta,2.5,3,255,458.3909833403368,1116.944675559489,263.4925436079527,294.5462837518562,0.14673998485023598,0.12865355075455942
1,16,eta,3,3.5,292,225.17859071719926,511.67955667887406,174.49269923349675,134.9005797409859,0.10089675244751017,0.06744317935891003
1,16,eta,3.5,4,302,150.1813333148263,364.73708284461856,116.21645549928061,96.02153553876747,0.05666829874456658,0.03891050472937946
1,16,eta,4,4.5,249,136.93782210248173,464.90248419388547,126.98446015554055,71.13087895632475,0.07175043261933856,0.03451067449007639
1,16,eta,4.5,5,196,119.33997401936836,341.7635307526581,110.73626821411153,51.74813102859588,0.06227277841166362,0.02825622849019372
1,16,r1_mm,0,150,21,266.8245453933267,817.7977390439821,266.8245453933267,59.62620971858712,0.0633363179548159,0.031560835735449516
1,16,r1_mm,150,300,267,162.05469422803276,537.3771936864816,146.88196677607834,74.29012811826397,0.07923349400180968,0.025823548752394558
1,16,r1_mm,300,600,398,151.20001756312718,454.9825231684693,122.64165778445113,94.95431810393029,0.05352583923720622,0.04485464823311431
1,16,r1_mm,600,1000,336,200.1320207765147,564.8008331147523,139.2137915217404,112.16273421854339,0.08761612523088186,0.06359893619364843
1,16,r1_mm,1000,1500,264,396.61271133354603,1489.4620962852516,252.2703091988916,277.9684465134551,0.18723923033908685,0.12855746438640137
1,16,r1_mm,1500,4000,166,847.2426179427544,4032.09234463327,407.04887840854553,543.0668817859043,0.23650550520160074,0.22770085665949763
1,16,abs_x1_mm,0,150,217,220.52603452340946,823.6996739138875,177.95819830723758,84.62686514282325,0.08846046061908308,0.03389414613335848
1,16,abs_x1_mm,150,300,296,169.58753077723543,666.3033509312015,146.62980109274315,99.62907794879783,0.0721307059632012,0.03837483751860339
1,16,abs_x1_mm,300,600,368,159.82994411652385,586.957605712246,137.1412349122636,94.95431810393029,0.061225748098532595,0.05077769379824705
1,16,abs_x1_mm,600,1000,280,218.28759094396588,915.4712537957947,125.88919092820561,136.1942657057824,0.10048241916849054,0.0726262445066711
1,16,abs_x1_mm,1000,2000,257,367.07442615210084,1452.6464431405657,253.90076968324138,280.53583995762654,0.14879092168051944,0.12482479560240248
1,16,abs_x1_mm,2000,4000,34,1200.8123625768974,4258.703564473035,483.3914825630927,1046.5442202198005,0.3016782859816547,0.47129899015171256
1,16,abs_y1_mm,0,100,240,154.61188542917625,400.14051700477165,129.07881569017832,81.39855976102339,0.06271622504620822,0.038045596209053484
1,16,abs_y1_mm,100,300,575,154.02277635951123,483.94227043935416,130.45106887432212,82.22994859627875,0.06793144390514899,0.0379313344120117
1,16,abs_y1_mm,300,600,330,229.14395960805223,755.1939461105235,160.94445222131526,146.27351502051056,0.09360769927010959,0.06893245769482026
1,16,abs_y1_mm,600,1000,205,479.64623609436785,1441.0225927523697,279.76050961675014,297.4851144888362,0.18575632581591117,0.1585317606331571
1,16,abs_y1_mm,1000,3000,102,1464.2407653583405,6802.868543815796,785.9781397492753,1117.7692361335403,0.41436869952943267,0.4182131362539532
1,16,max_slope0,0,0.02,192,129.32287709519886,453.6447630410965,121.10118367348832,53.73412330752103,0.06729074027794074,0.030028029077960178
1,16,max_slope0,0.02,0.05,518,143.38345331918845,363.868663895812,120.3860097623135,82.34648334930483,0.06064681512610304,0.03533488377925869
1,16,max_slope0,0.05,0.1,382,231.685080475188,557.3938352888491,176.60037150523067,149.9753684815346,0.09289304696852296,0.0668131584499309
1,16,max_slope0,0.1,0.2,311,611.8311934167195,2176.155730502842,368.67573406593124,435.2621353601762,0.18668647690905926,0.19276488281064208
1,16,max_slope0,0.2,0.4,49,2092.9772886917135,7644.458051533138,1452.960964065369,1598.016179598062,0.6873146434516197,0.7942526982730874
1,16,charge,-1.5,0,713,221.43178821079346,978.2958806582429,185.55304368913994,115.85070531270958,0.08685041708733632,0.06039055415592298
1,16,charge,0,1.5,739,191.50903192877422,1071.9041829342077,137.52542343149798,114.7617342780336,0.08848974924963171,0.04665954430058822
1,16,abs_pid,0,212,1137,203.51483565377748,932.1208381992162,151.15922009297833,113.87193540122098,0.08490358772939022,0.054021217150215795
1,16,abs_pid,212,322,163,204.51997398635058,1255.710719402261,171.87653972534633,107.72589246420239,0.09807253932968968,0.05068178245890009
1,16,abs_pid,322,2213,152,251.17784160720458,1305.672778255872,206.8400623923452,151.52731073544246,0.09357337007645516,0.06010137144866036
4,5,p_gev,1,2,5,3377.3262152448638,8442.561771523766,3377.3262152448638,1538.2828313492637,1.6164050876202873,0.6930922077377846
