example,evt,mckey,species,charge,p_gev,eta,x0_mm,y0_mm,tx0_mrad,ty0_mrad,x1_mm,y1_mm,tx1_mrad,ty1_mrad,field_bend_x_mm,field_bend_y_mm,field_dtx_mrad,field_dty_mrad,N,q,dx_um,dy_um,dtx_mrad,dty_mrad,exact_pos_um
p25,0,7004,pion,-1,13.817862510681152,3.7964422702789307,-97.81854284775673,-70.56021571164494,-34.58163706983341,-25.858608515692016,-61.09197065824497,-204.14483021238473,47.076718931800535,-25.711226880651125,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,1,16,116.06125678923007,-56.702761198835105,0.09409704568152238,-0.005405072114886972,2.451078491702674
p25,0,7004,pion,-1,13.817862510681152,3.7964422702789307,-97.81854284775673,-70.56021571164494,-34.58163706983341,-25.858608515692016,-61.09197065824497,-204.14483021238473,47.076718931800535,-25.711226880651125,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,4,5,202.44296486730917,63.43619564262326,-0.168287471252207,0.002842057949242055,1.6592374220323336
p25,0,7004,pion,-1,13.817862510681152,3.7964422702789307,-97.81854284775673,-70.56021571164494,-34.58163706983341,-25.858608515692016,-61.09197065824497,-204.14483021238473,47.076718931800535,-25.711226880651125,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,16,15,-1072.1586995163862,185.1129125858506,0.06463050245773816,5.158129375709697e-05,0.6019036165128
p25,0,7004,pion,-1,13.817862510681152,3.7964422702789307,-97.81854284775673,-70.56021571164494,-34.58163706983341,-25.858608515692016,-61.09197065824497,-204.14483021238473,47.076718931800535,-25.711226880651125,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,64,7,2025.127327255909,313.9788898156155,1.5896945288685003,0.17209685965401816,0.022946740429574675
p25,0,7004,pion,-1,13.817862510681152,3.7964422702789307,-97.81854284775673,-70.56021571164494,-34.58163706983341,-25.858608515692016,-61.09197065824497,-204.14483021238473,47.076718931800535,-25.711226880651125,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,128,7,2881.9853887791282,673.9378358692818,1.5746696740173982,0.2777621809487846,0.01453348397717491
p50,49,1974,pion,1,17.061857223510742,3.6760528087615967,69.6594583969053,119.83319860255409,23.415515648117676,43.858538315918985,15.679492379802126,346.6096481303642,-42.95079953318537,43.70010141200894,-175.22082293992688,-0.31429016435527046,-66.36631518130304,-0.1584369039100489,1,16,165.62727226025407,-11.337835966457988,-0.025083571148630524,-0.046266050605509035,20.80670647742089
p50,49,1974,pion,1,17.061857223510742,3.6760528087615967,69.6594583969053,119.83319860255409,23.415515648117676,43.858538315918985,15.679492379802126,346.6096481303642,-42.95079953318537,43.70010141200894,-175.22082293992688,-0.31429016435527046,-66.36631518130304,-0.1584369039100489,4,5,-137.36211437155708,10.867501998404805,0.04324300198044889,0.0041946558788086286,0.49719622552224507
p50,49,1974,pion,1,17.061857223510742,3.6760528087615967,69.6594583969053,119.83319860255409,23.415515648117676,43.858538315918985,15.679492379802126,346.6096481303642,-42.95079953318537,43.70010141200894,-175.22082293992688,-0.31429016435527046,-66.36631518130304,-0.1584369039100489,16,15,804.1581929731744,142.76528406259104,-0.13876095677455708,0.0649444200207655,0.49908288540478907
p50,49,1974,pion,1,17.061857223510742,3.6760528087615967,69.6594583969053,119.83319860255409,23.415515648117676,43.858538315918985,15.679492379802126,346.6096481303642,-42.95079953318537,43.70010141200894,-175.22082293992688,-0.31429016435527046,-66.36631518130304,-0.1584369039100489,64,7,-1552.0931917420917,788.4127462371566,-0.9056856725869409,0.0426192938289896,0.003390434532235531
p50,49,1974,pion,1,17.061857223510742,3.6760528087615967,69.6594583969053,119.83319860255409,23.415515648117676,43.858538315918985,15.679492379802126,346.6096481303642,-42.95079953318537,43.70010141200894,-175.22082293992688,-0.31429016435527046,-66.36631518130304,-0.1584369039100489,128,7,-1891.4456623719361,657.775469279386,-0.7978391125508799,-0.013887769367081082,0.009677056274526308
p75,112,2566,pion,-1,14.3330078125,3.361701011657715,-124.80608030121975,-48.668233065199,-62.3529273212737,-28.21093689115924,-239.41605461819975,-194.2322145524745,16.381272512272037,-28.038553737523348,208.24101276711096,0.506607547768823,78.73419983354573,0.17238315363589038,1,16,222.06343451713906,-61.85964768468466,0.2266583477865021,-0.031472292412595276,1.1338119011838899
p75,112,2566,pion,-1,14.3330078125,3.361701011657715,-124.80608030121975,-48.668233065199,-62.3529273212737,-28.21093689115924,-239.41605461819975,-194.2322145524745,16.381272512272037,-28.038553737523348,208.24101276711096,0.506607547768823,78.73419983354573,0.17238315363589038,4,5,-2.038932888723366,63.1157554037145,-0.13352740990422995,-0.026051209793750973,1.6492436871828886
p75,112,2566,pion,-1,14.3330078125,3.361701011657715,-124.80608030121975,-48.668233065199,-62.3529273212737,-28.21093689115924,-239.41605461819975,-194.2322145524745,16.381272512272037,-28.038553737523348,208.24101276711096,0.506607547768823,78.73419983354573,0.17238315363589038,16,15,-1232.307798806744,68.58276753368386,0.0387776496334237,-0.02239943557025975,0.5791332347939715
p75,112,2566,pion,-1,14.3330078125,3.361701011657715,-124.80608030121975,-48.668233065199,-62.3529273212737,-28.21093689115924,-239.41605461819975,-194.2322145524745,16.381272512272037,-28.038553737523348,208.24101276711096,0.506607547768823,78.73419983354573,0.17238315363589038,64,7,2519.426035695858,-109.30980484809538,1.8153799186421369,0.08964011444298828,0.018070454984808748
p75,112,2566,pion,-1,14.3330078125,3.361701011657715,-124.80608030121975,-48.668233065199,-62.3529273212737,-28.21093689115924,-239.41605461819975,-194.2322145524745,16.381272512272037,-28.038553737523348,208.24101276711096,0.506607547768823,78.73419983354573,0.17238315363589038,128,7,2994.5613367403325,315.2095408348998,1.7088333404129408,0.18429187711845388,0.014251400244802426
p95,115,5986,pion,1,13.060513496398926,3.079223394393921,204.73914809700992,-138.30515482891693,74.31276782865696,-52.02093916002637,359.67935018617806,-405.63458484294387,-12.663535532170243,-51.460611155273014,-229.8364471740519,2.02458876875761,-86.9763033608272,0.5603280047533563,1,16,-310.52864305212324,248.02838139373762,-0.16364291634408773,-0.11117112796057982,9.50998059295216
p95,115,5986,pion,1,13.060513496398926,3.079223394393921,204.73914809700992,-138.30515482891693,74.31276782865696,-52.02093916002637,359.67935018617806,-405.63458484294387,-12.663535532170243,-51.460611155273014,-229.8364471740519,2.02458876875761,-86.9763033608272,0.5603280047533563,4,5,235.87826155483071,-0.22852025801967102,0.3355913008138544,0.03061031466799341,0.6268707416552388
p95,115,5986,pion,1,13.060513496398926,3.079223394393921,204.73914809700992,-138.30515482891693,74.31276782865696,-52.02093916002637,359.67935018617806,-405.63458484294387,-12.663535532170243,-51.460611155273014,-229.8364471740519,2.02458876875761,-86.9763033608272,0.5603280047533563,16,15,1638.6176837178255,154.85829591062839,0.13160269815467274,0.1278623187562361,0.6281608203835276
p95,115,5986,pion,1,13.060513496398926,3.079223394393921,204.73914809700992,-138.30515482891693,74.31276782865696,-52.02093916002637,359.67935018617806,-405.63458484294387,-12.663535532170243,-51.460611155273014,-229.8364471740519,2.02458876875761,-86.9763033608272,0.5603280047533563,64,7,-3074.393783296955,508.65870133986846,-2.1695942497118175,0.11391499176176961,0.012380306884551828
p95,115,5986,pion,1,13.060513496398926,3.079223394393921,204.73914809700992,-138.30515482891693,74.31276782865696,-52.02093916002637,359.67935018617806,-405.63458484294387,-12.663535532170243,-51.460611155273014,-229.8364471740519,2.02458876875761,-86.9763033608272,0.5603280047533563,128,7,-4661.831468891478,696.7128139602323,-2.489866850388055,0.2446142517186778,0.012100688650207303
