example,evt,mckey,N,q,plane,z_mm,dx_um,dy_um,dtx_mrad,dty_mrad
p25,0,7004,1,16,0,2648.2,0.0,0.0,0.0,0.0
p25,0,7004,1,16,1,7826.0,116.06125678923007,-56.702761198835105,0.09409704568152238,-0.005405072114886972
p25,0,7004,4,5,0,2648.2,0.0,0.0,0.0,0.0
p25,0,7004,4,5,1,3942.6499999999996,-11.500618507596982,2.3394816161470544,0.011947427782606213,0.011566263617757144
p25,0,7004,4,5,2,5237.1,34.05411040250783,38.62624401313042,0.03918993560748582,0.005963219696526051
p25,0,7004,4,5,3,6531.55,112.29783160709417,-3.3378883299803874,-0.041641450444503125,0.023026980762157895
p25,0,7004,4,5,4,7826.0,202.44296486730917,63.43619564262326,-0.168287471252207,0.002842057949242055
p25,0,7004,16,15,0,2648.2,0.0,0.0,0.0,0.0
p25,0,7004,16,15,1,2971.8125,-37.53763317190817,7.122097645378744,-0.0021435807082761937,0.0026948081534514112
p25,0,7004,16,15,2,3295.4249999999997,-82.04545307266642,0.5159176505600271,-0.01003426176731867,-0.0037314768918800256
p25,0,7004,16,15,3,3619.0375,-118.39212632544616,-15.960931576501025,-0.01538159939213149,-0.006507820335385772
p25,0,7004,16,15,4,3942.6499999999996,-110.77068414257951,-18.582512284211816,-0.026563077950753772,-0.00936759651561439
p25,0,7004,16,15,5,4266.2625,-117.993304683921,-23.419970120713174,-0.024879328168293108,-0.01390810772892645
p25,0,7004,16,15,6,4589.875,-194.8923652840051,-24.426559696664185,-0.024033335938354952,0.005372261824839603
p25,0,7004,16,15,7,4913.487499999999,-295.0226442819144,-8.82649826471038,-0.025473813842313453,0.008587655646742631
p25,0,7004,16,15,8,5237.1,-396.50867321938676,12.349432062450205,-0.047824704366278975,0.007155825205322486
p25,0,7004,16,15,9,5560.7125,-472.95427426195147,29.252005461472663,-0.04693208903271129,0.010373926279030193
p25,0,7004,16,15,10,5884.325,-531.4136917157839,51.616749254833394,-0.024575177324966113,0.0036548717030696065
p25,0,7004,16,15,11,6207.9375,-585.0481727564727,83.40951116574047,-0.024115849871383238,-0.0004113986290764371
p25,0,7004,16,15,12,6531.55,-639.0528556969741,127.87408453721127,-0.012806287380373593,-0.011113599413820757
p25,0,7004,16,15,13,6855.1625,-729.7498165405472,143.9255409846112,0.029287087613946716,-0.011143103412752237
p25,0,7004,16,15,14,7178.775,-839.8711521364817,160.82880868827942,0.043617481948962644,-0.002236144106916582
p25,0,7004,16,15,15,7502.3875,-960.4198626536515,173.38597414016022,0.03828490837677612,0.0013420634888405836
p25,0,7004,16,15,16,7826.0,-1072.1586995163862,185.1129125858506,0.06463050245773816,5.158129375709697e-05
p25,0,7004,64,7,0,2648.2,0.0,0.0,0.0,0.0
p25,0,7004,64,7,1,2729.1031249999996,-7.0004787311575,-2.3240486083153655,-0.0008617388202736276,0.002266352595668708
p25,0,7004,64,7,2,2810.00625,-15.729223474281184,-3.510401868524582,-0.000412346196458635,0.005298041595731134
p25,0,7004,64,7,3,2890.9093749999997,-25.416451747247493,-4.371115581477625,0.002237446933291143,0.0077108353188116985
p25,0,7004,64,7,4,2971.8125,-35.97401290470259,-5.274449138539694,0.005648447658032629,0.01046624927436568
p25,0,7004,64,7,5,3052.715625,-47.4129669481016,-6.01789625588367,0.011068299160692241,0.013572754077133958
p25,0,7004,64,7,6,3133.6187499999996,-59.83515197097233,-6.638653374196224,0.017839075156081408,0.01731203849261037
p25,0,7004,64,7,7,3214.521875,-71.9838865068283,-7.514713011971708,0.02525157511752002,0.019770196350965552
p25,0,7004,64,7,8,3295.4249999999997,-85.51946158723922,-8.584477824385317,0.0354567618304491,0.023650447757202903
p25,0,7004,64,7,9,3376.328125,-100.11222822889465,-9.721067414531603,0.04531769283503892,0.02768082560435786
p25,0,7004,64,7,10,3457.23125,-112.43677587874856,-10.585181013752276,0.05170547581824156,0.03189405224239897
p25,0,7004,64,7,11,3538.1343749999996,-124.11169881011119,-12.129811247987732,0.05479269066829481,0.036518286102672076
p25,0,7004,64,7,12,3619.0375,-137.21824026478657,-16.034997248880245,0.05528768674041909,0.04073467444835541
p25,0,7004,64,7,13,3699.940625,-153.66756179446384,-18.02977691144747,0.054814400455242135,0.04514912343432653
p25,0,7004,64,7,14,3780.84375,-170.5867480637835,-19.98534618468284,0.05253326017910093,0.04614358358175086
p25,0,7004,64,7,15,3861.746875,-192.0585523295415,-22.342071732225577,0.05413722680968139,0.05140016648978729
p25,0,7004,64,7,16,3942.6499999999996,-210.1735053809648,-24.21753396434667,0.05477884119535134,0.05433048273258481
p25,0,7004,64,7,17,4023.553125,-228.1147104039576,-25.93487020884311,0.06527950303399782,0.05523544148285098
p25,0,7004,64,7,18,4104.45625,-243.8279982336553,-26.880655839278234,0.08234004654585764,0.05085585657906705
p25,0,7004,64,7,19,4185.359375,-257.55355808701097,-28.373282437883063,0.10268222745680837,0.04619271513470885
p25,0,7004,64,7,20,4266.2625,-279.15952492506335,-29.55658129971539,0.13872460866443287,0.05271002886581347
p25,0,7004,64,7,21,4347.165625,-289.9057059026404,-31.819665626557025,0.16595885478270544,0.04900164716086994
p25,0,7004,64,7,22,4428.06875,-304.2529540165049,-32.79453097752594,0.20101917655232332,0.05234833830739319
p25,0,7004,64,7,23,4508.971875,-317.6954066543942,-32.46996803075319,0.2415706209154536,0.0572595448411449
p25,0,7004,64,7,24,4589.875,-321.97015203541923,-31.56238311572679,0.2702931057101208,0.055891303966919964
p25,0,7004,64,7,25,4670.778125,-326.3107986318232,-30.93002340314399,0.303574747147246,0.05807258016486336
p25,0,7004,64,7,26,4751.68125,-325.7173454582869,-29.747566821882288,0.33319142460992884,0.06046678892379989
p25,0,7004,64,7,27,4832.584375,-328.22432010402736,-28.446232850185993,0.3799705174968741,0.06454866409651497
p25,0,7004,64,7,28,4913.487499999999,-327.7925407799671,-25.136264728274682,0.4298457764471441,0.06724213934821907
p25,0,7004,64,7,29,4994.390625,-323.6623317858971,-20.038429102754662,0.4793617666883224,0.07069553618858568
p25,0,7004,64,7,30,5075.29375,-314.96352116829485,-14.99041276377966,0.5289564222681377,0.07461194369731694
p25,0,7004,64,7,31,5156.196875,-302.8212995977242,-9.228993313371348,0.5724874083206334,0.07847674852689418
p25,0,7004,64,7,32,5237.1,-287.8543668890643,-2.129282049338599,0.6017236661170436,0.08117776912305516
p25,0,7004,64,7,33,5318.003124999999,-270.5123444069102,6.820328243748008,0.6299507886561375,0.08092532805932529
p25,0,7004,64,7,34,5398.90625,-248.31853727599196,13.762301927101817,0.6711746346524834,0.0806374648680587
p25,0,7004,64,7,35,5479.809375,-223.54757862336783,22.03238642505312,0.7018548886976901,0.08097299634474142
p25,0,7004,64,7,36,5560.7125,-197.34187415451743,29.50877134952634,0.7336736023984581,0.0835107289056114
p25,0,7004,64,7,37,5641.615625,-166.47622168309795,36.29820477365797,0.7684504283657425,0.08360597779794726
p25,0,7004,64,7,38,5722.518749999999,-130.8490318089639,42.44439809241385,0.8032164102530701,0.08249556744397216
p25,0,7004,64,7,39,5803.421875,-91.83352345291951,49.866060642557386,0.8385037274981424,0.08165080283491569
p25,0,7004,64,7,40,5884.325,-50.47562874690925,57.17689118253588,0.8763631836102882,0.08297171861012045
p25,0,7004,64,7,41,5965.228125,-3.7264040737738924,62.95594867722798,0.9096375454762766,0.08271548033927587
p25,0,7004,64,7,42,6046.13125,45.99967294035423,70.17990857661971,0.9463852994317303,0.08455363432657848
p25,0,7004,64,7,43,6127.034374999999,99.21348711372957,77.8169281054204,0.9878283274480926,0.08662768250229311
p25,0,7004,64,7,44,6207.9375,154.930622967953,85.17674529531405,1.034183045979943,0.08658075137235946
p25,0,7004,64,7,45,6288.840625,215.02310663852597,91.666293564856,1.0765259912426801,0.08896113867357808
p25,0,7004,64,7,46,6369.74375,281.84400921313113,97.72938957124211,1.113294821326282,0.09072612922767301
p25,0,7004,64,7,47,6450.646875,351.2886663714454,104.48515144238968,1.1564828872560469,0.09252136939007227
p25,0,7004,64,7,48,6531.55,425.9600690773482,112.04677328754542,1.1964122249373403,0.09518876358840384
p25,0,7004,64,7,49,6612.453125,504.79732416728496,121.43078608437463,1.237571214639868,0.0981788819830881
p25,0,7004,64,7,50,6693.35625,588.5930243514679,131.28692233632933,1.2758595052830142,0.10470030067857503
p25,0,7004,64,7,51,6774.259375,675.4163103065878,142.1874320327845,1.3123719970886265,0.11187590772115258
p25,0,7004,64,7,52,6855.1625,765.8513548848305,154.49842394633606,1.3482092707634563,0.11941050431609965
p25,0,7004,64,7,53,6936.065625,858.7993007070907,167.35334584845418,1.3827061167114714,0.12673139195416502
p25,0,7004,64,7,54,7016.96875,955.0860798594556,180.53415067271317,1.4154725348772477,0.1320294139364013
p25,0,7004,64,7,55,7097.871875,1054.0432330704307,193.65175958566283,1.448749387861048,0.13650843209423238
p25,0,7004,64,7,56,7178.775,1156.5066614190016,207.29903629899127,1.4603202204367531,0.13971624929214055
p25,0,7004,64,7,57,7259.678125,1259.3429690104472,220.5871382215605,1.4752033963377418,0.14378737033564695
p25,0,7004,64,7,58,7340.58125,1363.931327854715,233.97548517266387,1.4928209171680278,0.1477521284580681
p25,0,7004,64,7,59,7421.484375,1470.3779994797942,246.86304931410064,1.5049361241948265,0.1508641680278075
p25,0,7004,64,7,60,7502.3875,1577.9714068494854,260.1064899558878,1.5190938613577274,0.15555258152707627
p25,0,7004,64,7,61,7583.290625,1687.1543615300338,273.43368937980017,1.5365549557278189,0.16150600519447209
p25,0,7004,64,7,62,7664.19375,1798.2377255836184,286.85877296726403,1.551364077087447,0.16520292486368882
p25,0,7004,64,7,63,7745.096875,1910.5159471999898,300.5014081407751,1.5718551911686127,0.16984465424115316
p25,0,7004,64,7,64,7826.0,2025.127327255909,313.9788898156155,1.5896945288685003,0.17209685965401816
p25,0,7004,128,7,0,2648.2,0.0,0.0,0.0,0.0
p25,0,7004,128,7,1,2688.6515624999997,-2.0510088470189203,-0.2690310851249933,-5.3529315348355144e-05,0.0010897731458035798
p25,0,7004,128,7,2,2729.1031249999996,-4.200320212689235,-0.5070551434727122,6.14992026401473e-05,0.0023494474885761563
p25,0,7004,128,7,3,2769.5546875,-6.603331249962707,-0.6957131640064063,-0.00013766986674962345,0.003801408662129635
p25,0,7004,128,7,4,2810.00625,-9.145464484035415,-0.840478888250118,-0.0007208867420296916,0.005483712554928827
p25,0,7004,128,7,5,2850.4578125,-11.777250704000153,-0.9731698341397532,7.722888534927863e-05,0.007035212904269589
p25,0,7004,128,7,6,2890.9093749999997,-14.628554937800686,-1.0556563436381339,0.00018731211127304137,0.009242330930320924
