round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
1,rk6,23134,11567,25,0.13196041837037492,2.5193435325885893e-06,nan,376.83988896526444,243.62928892085733,267.8026592607239,4753.9
2,own,23134,11567,25,2.5123026932391098e-06,1.4514257298503131e-06,nan,230.21709729334816,116.90543429051559,167.7163493743592,4527.4
3,own,23134,11567,2,1.4520883480870728e-06,1.4234013955222639e-06,335.6011040109337,224.44178334259846,104.95220454777154,173.1390685976777,346.9
4,own,23134,11567,2,1.4119693398934407e-06,1.4019965822400264e-06,47.21091521338394,223.11710363777593,104.47994518685277,171.062213263383,307.9
5,own,23134,11567,2,1.3942898981922586e-06,1.3871613894425585e-06,17.86124440218373,223.12486892974448,101.93121675254702,169.26643621485482,203.2
6,own,23134,11567,2,1.3797004542614505e-06,1.3727306921743661e-06,18.186154201089266,219.32732209924666,99.68342337697322,168.48819319471886,176.9
7,own,23134,11567,2,1.3671474069381597e-06,1.3616303033663406e-06,16.026084058012202,219.16947913837248,98.28230521441128,167.99478474027296,344.8
8,own,23134,11567,2,1.354967743587166e-06,1.3490730281889791e-06,14.246479573600368,216.65134214299542,98.60895946155779,169.049393789237,310.8
9,own,23134,11567,2,1.3426834753053068e-06,1.3366148262234033e-06,26.642241743900286,213.97346387891503,97.46240776041759,167.44674775566182,212.0
10,own,23134,11567,2,1.3302249771935642e-06,1.3240114748712435e-06,19.83008098423511,212.56283361805117,95.83275634111033,167.12298897721212,317.1
11,own,23134,11567,2,1.3185747433849656e-06,1.3132682729463576e-06,18.89767754872196,211.56885365058997,97.55150373928245,167.0163718816866,314.8
12,own,23134,11567,2,1.3078211907065155e-06,1.3026265547765486e-06,16.190080357603165,209.89391793591494,95.29973169560435,165.20391904390408,306.6
13,own,23134,11567,2,1.2972763563126511e-06,1.2920643288005315e-06,18.113930375449172,209.67773170451665,97.69489980527624,163.64444802999856,218.1
14,own,23134,11567,2,1.2876025689371807e-06,1.2829182171058183e-06,11.32029195667883,209.540147435348,95.65402156965774,163.21709185248778,247.2
15,own,23134,11567,2,1.2785013817541606e-06,1.2744651779190196e-06,7.5197613180080225,207.47339088836725,94.57446202236497,163.28428999977973,243.1
16,own,23134,11567,2,1.2701325446636093e-06,1.2661964487943283e-06,7.973913420983081,206.1258510159405,95.15088484960188,162.50551155957282,310.9
