round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
1,rk6,32000,500,25,7.978595767673488e-05,3.590907364393517e-09,nan,424.03486786395206,327.50918671743534,196.90912820945528,3872.0
2,own,32000,500,25,1.3474448066081556e-08,1.7830338761470228e-09,nan,252.42027604815576,186.87191595046215,132.5896407526841,3900.0
3,own,32000,500,25,1.838673497617413e-08,1.5991179381476095e-09,387.13685988545876,260.2331291769815,204.61775229958334,133.2911591021002,3783.1
4,own,32000,500,25,2.1729153003729603e-08,1.2204434494457003e-09,262.57094637639966,229.50238452244776,175.86379317918954,119.37711427661401,3722.9
5,own,32000,500,25,2.2927452011991824e-06,1.224126715516519e-09,228.37251841747275,248.72255778859653,175.17931531193653,115.28295874862238,3763.8
6,own,32000,500,25,1.8740777234908664e-08,9.957185464592802e-10,256.2173993177339,173.35355431441712,133.2295158871375,84.02494101289903,3813.1
7,own,32000,500,25,1.2571958772741841e-08,7.537251966968575e-10,225.03473077912872,186.57881402896237,141.21105771437215,81.20860242155459,3816.2
8,own,32000,500,25,2.1687433971130702e-08,1.25512001462146e-09,201.0280151482675,223.08474211237694,176.6600303009227,97.82945065420634,3626.7
9,own,32000,500,25,2.016637868583334e-08,9.505409869108996e-10,224.71478108980136,211.0733033510428,168.78923418676095,102.34662108268822,3720.0
10,own,32000,500,25,1.2638618605370274e-08,8.286681833466169e-10,245.79585254224412,196.13570815423031,151.22736246166824,91.21296200751061,3097.9
11,own,32000,500,25,1.1020476965310246e-08,6.878891584114323e-10,203.3552328244035,166.18453603632588,119.97067078135615,88.45139370191646,2784.0
12,own,32000,500,25,2.1534207746855432e-08,7.315453291324046e-10,195.2873441682641,171.51356107990523,133.32220114591564,85.3421335704283,2839.4
13,own,32000,500,25,2.0552961766137227e-08,6.931205555579175e-10,188.3256300826872,163.15391869900964,118.7189439060603,91.50359753903103,2842.3
14,own,32000,500,25,2.0303679287539186e-08,5.299270674183212e-10,174.79522211920084,130.79091765138173,97.16948748177856,71.72863936378349,2849.7
15,own,32000,500,25,1.4276054396108515e-08,5.754441168380208e-10,154.10862976820283,165.12087421347132,129.58082262844073,81.44304356241605,2800.0
16,own,32000,500,25,1.0374115812048251e-08,6.014860087788468e-10,154.17882997542165,146.07895494503964,113.45199901235858,82.57058419974328,2725.8
17,own,32000,500,25,3.1160707799975846e-08,5.699920386239163e-10,175.475986952506,140.56664401670105,98.37232083123126,83.66981351059621,2527.5
18,own,32000,500,25,2.7174498102323885e-08,6.549438613410095e-10,123.30241396512065,163.06592539626763,130.4269080847007,75.9396368992924,2526.7
19,own,32000,500,25,9.368575155527637e-09,6.80672894329576e-10,160.90480447405753,157.98774013211414,128.04376506051085,74.02602605068864,2540.6
20,own,32000,500,25,2.6773735159501148e-08,5.894949261920332e-10,138.3654488483046,150.83180286740117,113.8268799583102,68.43822767709185,2503.0
21,own,32000,500,25,7.816405937229903e-09,5.318770295094427e-10,150.55626186904192,144.15817212909587,111.55818497690007,72.22341010360367,2362.7
22,own,32000,500,25,8.417649491100687e-09,5.23064041172131e-10,152.48854269134426,143.92214956035332,117.22528768700613,64.66980689759794,2577.9
23,own,32000,500,25,5.995040000836933e-08,4.955365376059287e-10,144.79845978405592,156.45754291574576,124.82382466083664,74.19672290399149,2612.2
24,own,32000,500,25,8.800246728682696e-09,4.0682816327622263e-10,150.60408871948994,138.39332081016664,109.12583780293517,65.5381633906984,2677.6
25,own,32000,500,25,3.513522584233505e-08,5.186163434242531e-10,128.21516869219352,140.0685637549941,99.69369639421188,69.92121671930818,2728.4
26,own,32000,500,25,1.426211607811711e-08,4.344339188010499e-10,128.06144795888486,132.97686507866047,106.16958007801713,66.06534335793413,2738.5
28,own,32000,500,25,1.8876376811113278e-08,5.476330523617562e-10,171.2781898149487,147.38316420351794,110.54159604441338,67.09232276080002,3012.5
29,own,32000,500,25,1.4763123934432499e-08,4.903968423704586e-10,183.12686919074395,141.47370442723252,111.1417978744953,59.36767142377164,3003.9
30,own,32000,500,25,5.2772875378743234e-08,4.36365288242433e-10,146.71128625730034,134.66110320314328,102.34496984182329,65.65510083329684,2997.4
31,own,32000,500,25,2.541748620113252e-08,5.710721704613258e-10,131.10910068053272,145.94677389752064,126.46524820377181,67.42230343616029,2989.3
32,own,32000,500,25,2.5828482648540215e-08,5.30582521321879e-10,143.9515516097174,154.19832878251327,125.13453761553706,61.42755499865871,2956.1
33,own,32000,500,25,3.077736055156131e-08,4.2666260656801983e-10,152.33494031656392,132.5714759405514,105.26695263354213,65.04987855227284,2941.8
34,own,32000,500,25,4.0591420024535604e-08,4.578915991320384e-10,144.4418228806228,130.83198436453358,105.78076858075747,61.712254575354564,2937.4
35,own,32000,500,25,2.0685707540876498e-08,3.789597191223234e-10,131.34620577358191,137.01548071833258,109.91949341507734,66.26906884454797,2939.8
36,own,32000,500,25,2.8434052501009257e-08,5.488655921257722e-10,130.71114242990234,134.9919265052506,103.20192024190078,58.34423365922703,2917.8
37,own,32000,500,25,1.2500990256313726e-08,4.774261430008875e-10,149.6682131290754,122.70719706634736,92.30863664288336,54.789873031310776,2920.6
38,own,32000,500,25,6.09644951658188e-07,5.090329986638329e-10,134.60708440825897,141.4381620291465,115.85136842927568,65.49184748874382,2930.7
39,own,32000,500,25,2.3515159142262317e-08,4.3640512966968017e-10,134.22051119130174,124.25670232806851,93.97454809652572,63.67999202620922,2946.3
40,own,32000,500,25,1.7476047627526823e-08,5.31251886833421e-10,143.06171260984257,127.84014690896583,97.69261454658817,66.468327682486,2951.0
41,own,32000,500,25,9.674473552239307e-08,4.811544712365127e-10,122.27899965157008,148.63227865682126,121.01044647045,61.82827422992432,2943.8
42,own,32000,500,25,1.95792651077193e-08,6.820542044402181e-10,130.94088851009644,146.16404912226244,120.27044398405451,63.60250103796261,2960.3
43,own,32000,500,25,6.760044067807014e-08,5.701129768388431e-10,163.93917192124263,126.80684992429292,95.28577137075445,61.906598425935044,2949.5
44,own,32000,500,25,1.801695386570152e-08,6.266262326168152e-10,126.0377397522916,148.70561580713115,120.40772573562109,67.52168261937186,2906.3
45,own,32000,500,25,1.4244670838186552e-08,4.780436528079685e-10,149.25160045777375,136.4863600138051,109.94387433606789,69.20220318644965,2909.8
46,own,32000,500,25,1.9918621133520513e-08,6.240287202731551e-10,152.3775122262805,136.02546055784615,109.88690413375934,56.993803473005755,2912.1
47,own,32000,500,25,4.382435538868871e-08,4.861660888235512e-10,148.29746224518203,132.42310630246834,97.11664496600747,60.61278817669802,2915.9
