component,unit,p_lo,p_hi,x0_lo,x0_hi,n,med,signed_median
x,µm,1.0,2.0,-700.0,-400.0,1,2782.3225354262604,2782.3225354262604
x,µm,1.0,2.0,-400.0,-250.0,0,nan,nan
x,µm,1.0,2.0,-250.0,-150.0,0,nan,nan
x,µm,1.0,2.0,-150.0,-75.0,0,nan,nan
x,µm,1.0,2.0,-75.0,0.0,1,7085.2893506315695,-7085.2893506315695
x,µm,1.0,2.0,0.0,75.0,0,nan,nan
x,µm,1.0,2.0,75.0,150.0,0,nan,nan
x,µm,1.0,2.0,150.0,250.0,0,nan,nan
x,µm,1.0,2.0,250.0,400.0,0,nan,nan
x,µm,1.0,2.0,400.0,700.0,3,891.0363907177157,-891.0363907177157
x,µm,2.0,3.0,-700.0,-400.0,12,384.90559774278665,-53.77478248101397
x,µm,2.0,3.0,-400.0,-250.0,12,266.6976700256889,-104.43291498901885
x,µm,2.0,3.0,-250.0,-150.0,22,280.87519348895285,-190.74398828104222
x,µm,2.0,3.0,-150.0,-75.0,11,437.87565674460893,-437.87565674460893
x,µm,2.0,3.0,-75.0,0.0,23,330.06475165598204,-292.8486588018586
x,µm,2.0,3.0,0.0,75.0,24,294.0913868709458,79.38136747191038
x,µm,2.0,3.0,75.0,150.0,15,190.74667009681434,66.22424856550424
x,µm,2.0,3.0,150.0,250.0,16,325.4489579529718,124.17704878566838
x,µm,2.0,3.0,250.0,400.0,16,670.5608805999361,-550.0197223780106
x,µm,2.0,3.0,400.0,700.0,8,249.60614277560822,-23.938182189944257
x,µm,3.0,5.0,-700.0,-400.0,10,572.7185878261309,460.64711357419696
x,µm,3.0,5.0,-400.0,-250.0,20,298.20267664730693,53.07259951661081
x,µm,3.0,5.0,-250.0,-150.0,33,146.01765718339266,-94.57866541583826
x,µm,3.0,5.0,-150.0,-75.0,47,131.78880770692558,6.862106900086928
x,µm,3.0,5.0,-75.0,0.0,48,145.19652510449532,87.11138413377739
x,µm,3.0,5.0,0.0,75.0,52,203.50509712284293,159.9263217858038
x,µm,3.0,5.0,75.0,150.0,42,163.17564022352826,88.33302391175835
x,µm,3.0,5.0,150.0,250.0,34,162.31509538530986,6.851804489969027
x,µm,3.0,5.0,250.0,400.0,34,242.82975330819045,-16.51214442151172
x,µm,3.0,5.0,400.0,700.0,21,419.5369081969602,-19.88834209927859
x,µm,5.0,7.0,-700.0,-400.0,6,563.7593978215136,-563.7593978215136
x,µm,5.0,7.0,-400.0,-250.0,11,223.94422078787102,185.20199763020173
x,µm,5.0,7.0,-250.0,-150.0,22,134.9550775330357,25.08205127497476
x,µm,5.0,7.0,-150.0,-75.0,24,69.41803082651177,5.094414185464302
x,µm,5.0,7.0,-75.0,0.0,46,103.39804110319051,83.22656360010683
x,µm,5.0,7.0,0.0,75.0,48,88.83961095756376,20.77698564954744
x,µm,5.0,7.0,75.0,150.0,35,108.48784849179083,-63.83930500146562
x,µm,5.0,7.0,150.0,250.0,18,175.73569955516888,-144.39440951032623
x,µm,5.0,7.0,250.0,400.0,16,103.46232062607896,32.0535794942316
x,µm,5.0,7.0,400.0,700.0,7,374.0939676996504,-172.21255336073682
x,µm,7.0,10.0,-700.0,-400.0,1,950.5125614646204,950.5125614646204
x,µm,7.0,10.0,-400.0,-250.0,8,151.00474433182853,-35.12017426135117
x,µm,7.0,10.0,-250.0,-150.0,11,92.68416088576714,21.675407262762292
x,µm,7.0,10.0,-150.0,-75.0,22,80.77296036288573,-22.694494328662884
x,µm,7.0,10.0,-75.0,0.0,50,67.00603531538718,48.18278809861454
x,µm,7.0,10.0,0.0,75.0,46,44.88283557827799,-16.88525405791097
x,µm,7.0,10.0,75.0,150.0,33,141.21804950688954,-104.69347385119931
x,µm,7.0,10.0,150.0,250.0,11,270.94250761749095,-264.60956108132905
x,µm,7.0,10.0,250.0,400.0,9,230.19622726656053,-230.19622726656053
x,µm,7.0,10.0,400.0,700.0,6,606.1274740380895,-606.1274740380895
x,µm,10.0,15.0,-700.0,-400.0,1,460.7889286871796,460.7889286871796
x,µm,10.0,15.0,-400.0,-250.0,1,161.1738212475302,161.1738212475302
x,µm,10.0,15.0,-250.0,-150.0,12,92.11716171591888,-67.67471229147759
x,µm,10.0,15.0,-150.0,-75.0,28,66.36416450351135,-40.85173174455292
x,µm,10.0,15.0,-75.0,0.0,58,61.18532882754835,43.098207907590336
x,µm,10.0,15.0,0.0,75.0,69,60.09822864928083,44.13341083574096
x,µm,10.0,15.0,75.0,150.0,26,110.65841548535715,-73.27938007747647
x,µm,10.0,15.0,150.0,250.0,4,246.25514567449613,108.9957313403147
x,µm,10.0,15.0,250.0,400.0,3,160.34279060363588,-21.73174910058151
x,µm,10.0,15.0,400.0,700.0,6,889.991577201954,-889.991577201954
x,µm,15.0,20.0,-700.0,-400.0,0,nan,nan
x,µm,15.0,20.0,-400.0,-250.0,0,nan,nan
x,µm,15.0,20.0,-250.0,-150.0,4,140.82870652799784,-140.82870652799784
x,µm,15.0,20.0,-150.0,-75.0,12,114.95491539172065,-89.20942086737682
x,µm,15.0,20.0,-75.0,0.0,35,60.04799816872719,-9.851025513256673
x,µm,15.0,20.0,0.0,75.0,40,100.37511858119785,42.26499820870799
x,µm,15.0,20.0,75.0,150.0,14,136.7498902051807,89.7072703850732
x,µm,15.0,20.0,150.0,250.0,2,184.08505440459066,-86.56922994288152
x,µm,15.0,20.0,250.0,400.0,1,1147.053859367702,1147.053859367702
x,µm,15.0,20.0,400.0,700.0,1,769.4655698556971,-769.4655698556971
x,µm,20.0,30.0,-700.0,-400.0,0,nan,nan
x,µm,20.0,30.0,-400.0,-250.0,0,nan,nan
x,µm,20.0,30.0,-250.0,-150.0,4,534.2746613225131,-534.2746613225131
x,µm,20.0,30.0,-150.0,-75.0,13,182.74525129558583,41.54002428954584
x,µm,20.0,30.0,-75.0,0.0,45,94.68133327993655,-52.13652767554322
