group,n,med_r_um,med_p_GeV,med_eta,frac_below_5GeV,frac_above_25GeV
worst 5 percent,73,1939.8119167010873,3.597041368484497,2.2841637134552,0.6712328767123288,0.0273972602739726
the rest,1379,157.45003506820575,7.116573810577393,3.5937438011169434,0.3306744017403916,0.09572153734590283
eta 2.0-2.5,158,881.4892205580087,3.71497642993927,2.302207827568054,0.7025316455696202,0.0
eta 2.5-3.0,255,338.123807506619,4.731943607330322,2.7843408584594727,0.5607843137254902,0.00392156862745098
eta 3.0-3.5,292,180.25298672755548,5.414635896682739,3.2531862258911133,0.4280821917808219,0.030821917808219176
eta 3.5-4.0,302,131.41709348420466,7.842329502105713,3.7602308988571167,0.2682119205298013,0.08609271523178808
eta 4.0-4.5,249,122.15323431869722,12.230441093444824,4.251284599304199,0.1285140562248996,0.18072289156626506
eta 4.5-5.0,196,97.97547688721767,15.448696613311768,4.709067344665527,0.0663265306122449,0.27040816326530615
charge positive,739,184.35246457522746,6.719738483428955,3.5396382808685303,0.35588633288227334,0.08660351826792964
charge negative,713,147.67400135303626,6.9940972328186035,3.5158443450927734,0.3394109396914446,0.09817671809256662
