N,q,us_per_track,med_um,n_parameters
2,2,26.4,9249.998624454209,18956
2,4,26.0,283.81794083164095,19988
2,8,26.5,188.1411881912138,22052
2,16,28.4,223.6481025740179,26180
64,2,803.2,166.25818774640442,18956
64,4,813.9,172.3702920150361,19988
64,8,833.4,204.15216972682416,22052
64,16,888.4,194.15694877675736,26180
128,2,1592.3,207.01034225129456,18956
128,4,1657.6,195.61262370983917,19988
128,8,1693.4,158.56125982817758,22052
128,16,1778.1,246.23851192374306,26180
256,2,3262.6,185.3010792473865,18956
256,4,3311.5,195.57050308887875,19988
256,8,3324.6,193.57240068813857,22052
256,16,3546.2,136.77869248944677,26180
