N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
2,2,x,µm,1.0,2.0,5,48315.61380004149,54896.04391178806,27584.527160436133
2,2,x,µm,2.0,3.0,159,28607.685617861534,66085.44790660952,-1755.9628513961507
2,2,x,µm,3.0,5.0,341,18417.251713347694,50048.411904890825,243.60647997438227
2,2,x,µm,5.0,7.0,233,11090.92114913539,29755.61947980507,-617.2052235851186
2,2,x,µm,7.0,10.0,197,7392.6044150854295,10899.993760794125,472.56027644781244
2,2,x,µm,10.0,15.0,208,4796.9505125456,6915.448565308697,175.06704346667323
2,2,x,µm,15.0,20.0,109,3478.101061361798,5402.070422308057,476.5483090002922
2,2,x,µm,20.0,30.0,115,2348.4512051674074,2917.4709242912313,-275.51453633087715
2,2,x,µm,30.0,50.0,55,1607.7697497751728,1961.506818726265,29.56395841438225
2,2,x,µm,50.0,100.0,24,781.4946769015165,1137.0881887237076,-159.8993000901879
2,2,x,µm,100.0,200.0,6,1630.79408668748,3544.0061731815576,533.7588437755206
2,2,y,µm,1.0,2.0,5,684.8108521102176,916.0731206877017,494.0076090853296
2,2,y,µm,2.0,3.0,159,788.2483903673005,4349.9365927004965,235.77126920335732
2,2,y,µm,3.0,5.0,341,504.0494292686617,3223.1241357180807,14.245585855302352
2,2,y,µm,5.0,7.0,233,202.58842807257338,1629.3078245068252,28.612294060941473
2,2,y,µm,7.0,10.0,197,138.30103137577333,577.8760496138713,3.407457023871848
2,2,y,µm,10.0,15.0,208,90.13964898746352,458.77485844122924,11.147962554671802
2,2,y,µm,15.0,20.0,109,89.22862213040617,474.8236316639803,-18.892236177587222
2,2,y,µm,20.0,30.0,115,66.09219052518256,233.8724136292455,11.217478679742301
2,2,y,µm,30.0,50.0,55,44.471492907341315,156.6112449565878,19.826845644434677
2,2,y,µm,50.0,100.0,24,31.344449772944927,88.84532265036424,0.26811716216696796
2,2,y,µm,100.0,200.0,6,21.670110748686966,64.59579457165177,-8.758589089206717
2,2,tx,mrad,1.0,2.0,5,15.77234689604612,16.590597816237086,8.306158152813635
2,2,tx,mrad,2.0,3.0,159,8.290202778232224,21.558534043813605,-0.5906130066100846
2,2,tx,mrad,3.0,5.0,341,4.725350682361573,15.955237966118807,-0.17166233954060708
2,2,tx,mrad,5.0,7.0,233,2.6117357330341653,9.105417722126719,-0.25574075651134864
2,2,tx,mrad,7.0,10.0,197,1.714681111856159,2.646613451097827,0.1367152070917754
2,2,tx,mrad,10.0,15.0,208,1.0854821005659605,1.6747169763069725,0.060343754841398874
2,2,tx,mrad,15.0,20.0,109,0.7827666456363334,1.3412478940031114,0.1299007538468108
2,2,tx,mrad,20.0,30.0,115,0.520591203092051,0.6580918236322946,-0.06819044793584628
2,2,tx,mrad,30.0,50.0,55,0.39685730036567723,0.5301604374832187,0.019951327781121943
2,2,tx,mrad,50.0,100.0,24,0.09706207244081569,0.19905980648055233,-0.037615091017893953
2,2,tx,mrad,100.0,200.0,6,0.2805275134290918,1.0331705663085808,0.20285225287967254
2,2,ty,mrad,1.0,2.0,5,0.2743097712692294,1.0470506027499629,-0.2044263418738897
2,2,ty,mrad,2.0,3.0,159,0.22205215383160753,1.207386443437206,0.06199226896082623
2,2,ty,mrad,3.0,5.0,341,0.12563069871149302,1.0916381828255801,0.03763551121887737
