N,q,split,n_tracks,pos_med_um,pos_p95_um,x_med_um,y_med_um,tx_med_mrad,ty_med_mrad,loss_on_rk6_states,n_states
2,2,train,11567,9632.061975040046,39849.88059289237,9632.061975040046,184.16511210432418,2.268106595813779,0.053398553623781875,1.904404008607149e-05,23134
2,2,val,1463,9563.498676331847,44034.030042276274,9563.498676331847,199.2556662932259,2.2502275676614394,0.05387161939976459,2.121846062251518e-05,2926
2,2,test,1452,9249.493663721893,39288.40482361379,9249.493663721893,176.84379733520927,2.1776872517471833,0.05353919892469097,3.5786778710883794e-06,2904
2,4,train,11567,268.7377859791127,1833.7365585635057,221.20043105672949,122.45646091025719,0.08164120287731946,0.04371564772199035,1.3029660920771862e-06,23134
2,4,val,1463,275.14990698063,2456.7256123467337,226.6836597798374,118.88222450198782,0.08402199024687418,0.043903143590762195,7.247748281470853e-06,2926
2,4,test,1452,266.44419351729454,1977.3812138130456,229.51702920134665,109.92899152833502,0.08143795873745419,0.041473578001854916,1.277151086288889e-06,2904
2,8,train,11567,182.78368372011755,1390.565460298284,117.6664110079173,115.43118145334574,0.04860312274444778,0.04498258169346667,1.3942674933662355e-06,23134
2,8,val,1463,181.93614379072187,1818.7730773505316,118.9955185841427,109.84283411198703,0.051447475633514816,0.043129030272176516,4.8495651600740366e-06,2926
2,8,test,1452,181.39861350206843,1333.2766172068507,114.03277904440756,114.24834431441866,0.04763863921768835,0.043963783084733504,1.7969325732837503e-06,2904
2,16,train,11567,212.52741784846307,1542.2367446262074,100.19116666012451,164.66372730022982,0.03832746391088182,0.052763417315963845,1.5259543009027443e-06,23134
2,16,val,1463,220.08268100148598,2045.2322366218466,108.25095321274603,171.24243230506409,0.035797105554125075,0.05460414485171372,3.1373470467607535e-06,2926
2,16,test,1452,218.1455742450442,1644.2359972451757,98.63606094067734,171.54102321227072,0.03736878481456346,0.056922953429320786,1.1941875435627202e-06,2904
64,2,train,11567,151.54966152948646,971.4904547989231,116.19487162445097,72.8827231367859,0.04005923059091643,0.023974463398336587,2.198380210935371e-08,32000
64,2,val,1463,151.7808578930726,966.6249769708198,112.19005564421991,73.42855856683173,0.038430561767610616,0.024759108065335392,2.1030692615748172e-08,32000
64,2,test,1452,152.79389625821693,1024.9408262709312,118.19844401406243,73.08133186708865,0.039265798853313494,0.02315084704326148,1.2171519307526279e-08,32000
64,4,train,11567,155.11881381519288,1182.4583810744555,126.37391674078913,73.43204437674444,0.046819316460611216,0.02408829045931482,4.934440927531352e-08,32000
64,4,val,1463,154.1522355133509,1311.117335853205,122.3555960145859,80.95660624685763,0.04761362765767774,0.025072182676014187,2.2991092131517065e-08,32000
64,4,test,1452,147.83548921076317,1016.5913516539223,122.15808981494547,72.04601825806378,0.04630731607919297,0.022886996783828828,1.9155638969422505e-08,32000
64,8,train,11567,148.24276541793324,1100.1179267341813,113.46471209731135,80.71983006504979,0.04050080509051396,0.024488325237832786,1.458949748556908e-08,32000
64,8,val,1463,146.07895494503964,1250.5907102482038,113.45199901235858,82.57058419974328,0.03917789648033576,0.02525376828479975,2.1779761370676845e-08,32000
64,8,test,1452,144.1944059873741,1067.314880429774,113.06139635712498,79.86919560656247,0.03895356800759364,0.02359712487735345,5.033352372708242e-09,32000
64,16,train,11567,164.41644564758917,1142.6350996921713,132.56674068441043,73.08851013635831,0.04859222086592632,0.024820168944582333,3.569962031781032e-08,32000
64,16,val,1463,163.10971316458733,1312.6736164209547,136.81053200247106,77.03409130169803,0.0482172612960019,0.026536668208010372,2.2512922071189145e-08,32000
64,16,test,1452,161.9110430424371,1142.308283980603,132.94330414734645,76.214011502298,0.04531677558354541,0.02448724688722953,6.475360125169222e-09,32000
128,2,train,11567,152.20084421227398,1142.9858175963102,123.2175195821128,66.70605952450614,0.03957761057282738,0.021384338545878123,8.323937774153546e-09,32000
128,2,val,1463,154.54267220752627,1278.5830556043227,127.07597606151921,70.51042222246906,0.03989826422887144,0.022031747367121796,4.564169631104215e-09,32000
128,2,test,1452,149.47072873989242,970.110346118236,124.63923008651712,64.69447308184328,0.038302396542726214,0.01913630416708334,3.488628190771684e-09,32000
128,4,train,11567,141.96062726944092,983.7177687258416,101.3062584988802,76.04724009183883,0.03521743912204833,0.026692783237917267,1.0316852757923036e-08,32000
128,4,val,1463,141.96732476015583,1226.2604586142402,98.05145973513163,77.28258145380096,0.03420573058327686,0.026526173906332717,5.397935511223248e-09,32000
128,4,test,1452,140.09599786677285,907.8936978501879,102.77464963231608,75.87276648757336,0.0333820645970484,0.027434743734191212,1.4775120882291476e-09,32000
128,8,train,11567,156.69681593817586,1157.195098995861,120.50652907913673,89.75431409498924,0.03911660649719151,0.025734603447642897,5.084718363049063e-09,32000
128,8,val,1463,152.5529456528858,1383.1978333004595,116.29380423607927,88.40189320898162,0.039155186750239324,0.024471051341158623,6.496168345652467e-09,32000
128,8,test,1452,152.27238138550092,1107.288814289888,109.58838292903295,83.7148261354912,0.0373339719690266,0.023648595154380017,2.176585994005204e-09,32000
256,2,train,11567,143.4851109684132,1074.4943383686793,114.50519900449763,60.91287390574962,0.036773921308908,0.02110255120061494,2.2286787012847804e-09,32000
256,2,val,1463,150.63214674597702,1277.3074618686865,124.58131942565842,64.05567688361202,0.03764836577160868,0.021852634545280192,1.2888530305316067e-09,32000
256,2,test,1452,140.12102841817864,1037.128737654428,113.19472757900684,60.84525018586007,0.0371496580381242,0.021101710656045228,8.460936781583688e-10,32000
256,4,train,11567,156.23352455637018,1072.706811682792,116.54164462031247,74.21961477336936,0.0349473354368246,0.02509027833191846,8.444660819788042e-10,32000
256,4,val,1463,161.0227126020618,1281.1255995097933,112.35353526910785,82.07648402344603,0.03390957968821273,0.02636201870950816,1.370232237763722e-09,32000
256,4,test,1452,147.9500984311528,967.8724857375847,109.04652681017524,72.6482127959045,0.032042060616466195,0.024675177506543796,6.396764858223603e-10,32000
256,8,train,11567,145.65856803608312,1168.4423338348897,114.61658315897694,77.19464165313639,0.03693398812909532,0.025090960881921087,2.5652288776185874e-09,32000
256,8,val,1463,147.10688190098153,1261.0698207935338,106.97077601338378,79.90796262174626,0.03701366775514178,0.024870352419825714,6.123123027553083e-10,32000
256,8,test,1452,146.72384116023807,1229.5597528892974,118.45472249468969,75.76506993790133,0.03646267753931037,0.02379137925558744,7.74707238962906e-10,32000
256,16,train,11567,152.98660243971085,1165.6170546610595,119.63951623903313,72.84269973536084,0.04185784770906198,0.022443964320127685,1.3710626329186745e-09,32000
256,16,val,1463,148.8856333876072,1441.1813786607427,112.13875113890026,74.66295995550354,0.04104743683724932,0.02281113666628004,6.387582984453366e-10,32000
256,16,test,1452,146.44146830647742,1078.9266122851268,112.38790950778466,66.52038087393919,0.0410277657850594,0.021401781744554392,3.2247288247896205e-10,32000
