p_lo,p_hi,n,loss_med,loss_share,step_med_um,chain_med_um
1.0,2.0,5,5.66737934371948e-09,0.0018657155486786797,2.916349977304652,1467.8897802550614
2.0,3.0,159,8.571953403866282e-10,0.31784992679374513,1.3872434205876845,463.80953869631134
3.0,5.0,341,2.3200371274056118e-10,0.6511580416349084,0.8229548883159925,241.73445888401434
5.0,7.0,233,7.959688440795635e-11,0.018631633515236518,0.48846151556717887,159.95312715427426
7.0,10.0,197,4.099381453598266e-11,0.003897875319102499,0.30651495092768805,124.22031195174426
10.0,15.0,208,2.784437898984518e-11,0.005429242864466287,0.2024845429768244,106.83857224086213
15.0,20.0,109,2.6450400544460378e-11,0.0005647470528530026,0.16965959627302063,118.84188384613043
20.0,30.0,115,2.4979309454226726e-11,0.00021795470457943277,0.2128789773184938,146.3066251102513
30.0,50.0,55,4.724543845048885e-11,0.00012884024151090315,0.3008101324031548,127.42307612120545
50.0,100.0,24,8.106786441678327e-11,0.0001782648118136446,0.6831149253732681,206.33233683760892
100.0,200.0,6,1.6777367922809292e-10,7.775751310544784e-05,1.2046467786969508,828.7894691105832
