N,q,dz_mm,med_um,p95_um,p99_um,mean_um,max_um,frac_above_1mm,worst5pct_share,n,exact_med_um,block_d_med_um,restarts,rounds,final_loss,stopped_by_hand,us_per_track,val_rounds_mean_um,val_rounds_std_um,val_rounds_min_um,val_rounds_max_um,val_rounds_rel_spread,val_rounds_used
2,2,2588.9,9249.998624454209,39346.58250475706,70103.88715552066,13712.401900250783,137273.45724142832,0.9848484848484849,0.21867373713644722,1452,9270.907661053945,nan,109,6,1.1843631892350356e-06,False,26.4,9582.274089590619,43.20930698134337,9515.55284492565,9658.515680957806,0.004509295661692911,6
2,4,2588.9,283.81794083164095,2011.4533666394227,5413.807695167295,627.7495849845499,44920.19126197999,0.11639118457300275,0.41625937022900794,1452,195.401900127786,nan,159,19,9.888550509866716e-07,False,26.0,272.4347309725932,1.3956249292361507,271.14420079874435,275.89081752080347,0.005122786379892768,8
2,8,2588.9,188.1411881912138,1427.6755307126282,4355.291073795959,430.89180821995853,23286.135466464675,0.07920110192837465,0.43484126702910025,1452,7.472217275139881,nan,130,17,1.271533409246567e-06,False,26.5,173.05966869225742,1.6601603268372103,170.29802801545202,175.4491402229803,0.009592993788687894,8
2,16,2588.9,223.6481025740179,1682.8462575563208,3708.324817974615,472.0140940885684,25738.241455850035,0.09779614325068871,0.3730656801294372,1452,5.16705264882912,nan,106,16,1.2623739579503954e-06,False,28.4,210.10202376595544,2.409717849945134,206.1258510159405,213.97346387891503,0.011469274815883997,8
64,2,80.9,166.25818774640442,1153.9236640084143,3303.553167816945,375.69622852380894,24984.76173764126,0.06267217630853994,0.4168890517779968,1452,0.14654447091345263,2304.3390874358956,760,31,1.0982793129209636e-09,True,803.2,127.19815603549512,11.14266741002003,111.57400751704927,144.52682816727247,0.08760085646926066,8
64,4,80.9,172.3702920150361,1050.7354638813756,2915.3511989089657,352.31741510935973,23331.146120073616,0.05509641873278237,0.3941728049894031,1452,0.4782881867252404,2442.1215940740276,714,29,7.11309120328958e-10,True,813.9,133.72655530849897,10.571052841673918,119.78898711720376,158.42561944532463,0.0790497655255319,8
64,8,80.9,204.15216972682416,1248.7233471880054,3789.881549066658,409.71651356525956,23683.38193589324,0.06680440771349862,0.38068793403110157,1452,0.10301050632713349,2346.3971105556193,657,27,1.1331405487221853e-09,True,833.4,145.59951965606643,8.257456478637803,132.97686507866047,157.98774013211414,0.05671348709215164,8
64,16,80.9,194.15694877675736,1207.2404043504978,3914.3430007981756,420.3735842062736,21310.306351161547,0.07024793388429752,0.40034819446936293,1452,0.0718887603973376,2417.861041973414,546,22,7.168591630751845e-10,True,888.4,169.48143566626328,9.984038437695576,156.93635377490978,185.2668089199483,0.058909333629647696,8
128,2,40.45,207.01034225129456,1206.245230900243,3779.4182957351018,414.483046117687,17976.644250298894,0.06198347107438017,0.38177943748437987,1452,0.5106528305357804,2939.592765446354,760,31,2.70880827746117e-10,True,1592.3,137.34523849681148,8.724242490806644,127.22488509700725,150.63942635561034,0.06352053108130996,8
128,4,40.45,195.61262370983917,1246.4833577154575,4215.32278777759,413.5432557751147,16143.939000361606,0.06680440771349862,0.4068686405156157,1452,0.11590398268633259,3295.89107937034,713,29,2.577625058838881e-10,True,1657.6,146.03850993834368,7.37406958556085,134.61891473139076,159.69503120103923,0.05049400729077642,8
128,8,40.45,158.56125982817758,1089.6387673992099,4042.5910774885356,355.12705240386845,10959.304638463293,0.05716253443526171,0.41724485114525317,1452,0.011479544699298082,3212.304211152011,599,24,1.4409041065036218e-10,True,1693.4,158.61468413034996,8.576674534405008,141.99169269176082,170.76119997204842,0.0540723866861953,8
128,16,40.45,246.23851192374306,1409.828549463727,4116.562189924692,483.43082531871187,22324.305639687984,0.09090909090909091,0.3703768008933586,1452,0.00017644432428063782,3827.027791930144,383,16,2.5640556423752966e-10,True,1778.1,176.04938213468913,19.22508285322725,143.4437205901986,209.00444044798405,0.10920278515103689,8
256,2,20.23,185.3010792473865,1318.8905201932214,3409.6018526718126,400.44037513974087,19661.179359713762,0.06887052341597796,0.3846879459239907,1452,0.2283954496350239,nan,758,31,7.237298893449458e-11,True,3262.6,137.56215508985224,6.9406564358255505,122.86133098587015,145.52719571543093,0.050454693962100866,8
256,4,20.23,195.57050308887875,1275.4826093953675,4842.89912886659,430.12303733734933,30867.466689700377,0.06818181818181818,0.43746149687662145,1452,0.029506704111940056,nan,709,29,4.9862186291360804e-11,True,3311.5,152.72174727155698,11.888093947898602,138.64524554537638,173.47559568862005,0.07784152656897117,8
256,8,20.23,193.57240068813857,1203.7309669226495,3090.0877759271466,389.71570275903434,20298.002417994565,0.0640495867768595,0.3636371849615061,1452,0.00042601432374558747,nan,615,25,4.2218797167606445e-11,True,3324.6,154.48011384404836,9.584075487963425,142.60829415320586,167.73747438330133,0.06204083651594661,8
256,16,20.23,136.77869248944677,1082.1430535840286,3605.671537590652,358.0830090341088,31383.926384516395,0.05922865013774105,0.4762927548878682,1452,0.0010500755572652948,nan,550,23,2.9645690247153356e-11,True,3546.2,163.56056803266483,18.854734439460024,127.45110083073996,183.85119761387614,0.11527677279583994,8
