round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
1,rk6,32000,250,25,1.584495073473624e-06,3.246597224735568e-11,nan,379.865034015495,128.74039350037947,300.54713682079637,2981.5
2,own,32000,250,25,7.599067827477498e-11,1.8190280615480573e-11,nan,258.50500939395715,110.73900542271531,180.61300768272304,3043.5
3,own,32000,250,25,4.517219206697142e-11,1.0678033283733867e-11,315.5012214893418,199.91531438722632,86.88353702268614,144.06958427935024,3054.0
4,own,32000,250,25,3.276904985778103e-11,1.0894873744685885e-11,188.36039072576227,159.33872082902667,78.95486585499611,116.0102577903217,3050.9
5,own,32000,250,25,3.9258802000936054e-11,1.0828851904106187e-11,155.9610842886059,167.58573598454518,73.28070475625736,128.09925985743575,3032.6
6,own,32000,250,25,4.5427913195013706e-11,1.0976724267052262e-11,162.76236685158096,158.30595974917117,100.18139503290513,101.30357304143445,3016.2
7,own,32000,250,25,7.474243249576432e-11,9.362019063777798e-12,143.07508318836426,182.28590369415087,95.00771995823243,110.77643394014558,3002.5
8,own,32000,250,25,5.383099769154301e-11,8.822280024980957e-12,146.51884385403946,143.15379078163915,66.3404837212056,103.00021668717818,2973.6
9,own,32000,250,25,6.725265384391419e-11,7.465841554659713e-12,125.20247405302598,147.32493075823072,74.31418274549628,101.46529019240802,2939.7
10,own,32000,250,25,6.466653509069076e-11,8.002037146883692e-12,113.50705861059396,143.58027833850429,65.90995168258473,106.61330302546901,2940.1
11,own,32000,250,25,4.658216610080942e-11,6.91239618453663e-12,145.23731164456422,130.12246874689026,66.68858999177019,90.83185056204002,2955.7
12,own,32000,250,25,5.157730190361278e-11,6.880065751700571e-12,133.34187901816819,121.47022067148328,58.640914914690256,75.56193618204787,2951.4
13,own,32000,250,25,4.8326384958956775e-11,8.010623863906203e-12,118.24689087796969,137.3088847260533,72.22702263470637,96.3250196356853,2952.7
14,own,32000,250,25,2.26796940924239e-11,6.1263679885794714e-12,135.22299446867692,115.17401622241152,60.72885179378318,77.12916244230428,2941.5
15,own,32000,250,25,5.125083662745477e-11,7.47728087718669e-12,128.1552485326074,132.08861314427622,67.19442355938554,84.04979149679548,2953.7
16,own,32000,250,25,2.1424195030313404e-11,4.4210980786279244e-12,113.61650078572438,107.51417192648205,54.583334226350644,73.8511773126902,2955.9
17,own,32000,250,25,4.146824533766831e-11,8.443894384130657e-12,102.2755731989946,130.4393960462562,66.92529661336266,84.37357630555198,2941.0
18,own,32000,250,25,3.747270083052545e-11,6.480869939561218e-12,117.82077390819268,112.18237740274617,63.60922972953631,69.47889088780812,2943.8
19,own,32000,250,25,2.378856394427213e-11,5.337986389626686e-12,124.18000183606637,91.15798305219869,49.93177218455003,65.82563726237822,2907.1
20,own,32000,250,25,4.6003914523719414e-11,5.600741733031767e-12,99.47701560258793,106.82113401827564,46.305466049716415,80.2384567522978,2931.8
21,own,32000,250,25,3.507552325350189e-11,5.570780354629751e-12,92.01017667120936,118.45031024964214,49.27880371178617,88.86619093587456,2973.0
22,own,32000,250,25,2.6585426458999748e-11,5.7929092222595435e-12,109.66689237443461,104.98701455747295,54.595660988979944,73.77798445185668,2949.1
23,own,32000,250,25,3.338429641566223e-11,7.219890729514992e-12,110.23695681271306,109.28321737560509,55.97209400889369,80.2336898671958,2972.5
24,own,32000,250,25,2.4281198051625944e-11,4.304009746734975e-12,93.91301043422118,101.26947725893842,45.931592903116325,74.06228122044922,2920.0
25,own,32000,250,25,3.649935242586742e-11,7.36220231031942e-12,97.69241958935027,104.11013672731428,54.8636287754789,77.95761675268409,2900.9
