N,q,dz_mm,component,unit,kind,n_tracks,med_abs,p95_abs,signed_med,checkpoint,restarts
64,2,80.9,x,um,"endpoint (after N steps, at z1)",862,20.050054808365303,218.6499514974286,-4.8299888485558995,0,1000
64,2,80.9,y,um,"endpoint (after N steps, at z1)",862,31.48828970167017,263.9704795295188,0.038887604333126546,0,1000
64,2,80.9,tx,mrad,"endpoint (after N steps, at z1)",862,0.018678583248998848,0.17768776612928328,-0.008369082675895034,0,1000
64,2,80.9,ty,mrad,"endpoint (after N steps, at z1)",862,0.022664569234366605,0.20413604404249933,0.006964381756883846,0,1000
128,8,40.5,x,um,"endpoint (after N steps, at z1)",862,31.104670202140028,265.73375127507006,2.0056768091620825,0,1000
128,8,40.5,y,um,"endpoint (after N steps, at z1)",862,33.27002364160592,406.6675967276747,-0.032282641932113165,0,1000
128,8,40.5,tx,mrad,"endpoint (after N steps, at z1)",862,0.021721357854657952,0.16509708633516415,0.0042030263235140475,0,1000
128,8,40.5,ty,mrad,"endpoint (after N steps, at z1)",862,0.020228322740154653,0.18793896125712578,0.0022976668545421353,0,1000
256,16,20.2,x,um,"endpoint (after N steps, at z1)",862,18.978865961528868,208.92664673419284,-2.7400115855300555,0,1807
256,16,20.2,y,um,"endpoint (after N steps, at z1)",862,40.89997993497718,248.66908858005843,-2.3453644271569374,0,1807
256,16,20.2,tx,mrad,"endpoint (after N steps, at z1)",862,0.014226411110707105,0.1699508347047649,0.0009382070096236594,0,1807
256,16,20.2,ty,mrad,"endpoint (after N steps, at z1)",862,0.020150038529466972,0.17755990070735078,-0.002757744767167142,0,1807
