N,final_loss,label,last10_vs_prev10_pct,n_test,plateau_round,plateaued_now,q,restarts,rounds,run,test_radial_band_med_um,test_radial_med_um,test_radial_p95_um,test_radial_soft_med_um,train_wall_h,val_max_um,val_med_um,val_min_um,val_spread_pct,weighting
2,1.1843631892350356e-06,Block E,nan,1452,-1,False,2,109,6,../../Block_E_single_network_chain/E1_Network_grid/results/N002_q02,3630.6664620981624,9249.998624454209,39346.58250475706,21960.328624306934,4.5183333333333335,9658.515680957806,9580.196810902245,9515.55284492565,0.7461372602985747,blockE
2,9.690769674887642e-07,Block E,-1.5107882169975089,1452,22,True,4,175,23,../../Block_E_single_network_chain/E1_Network_grid/results/N002_q04,157.46061663804724,284.64277593133363,1966.8782703052937,597.6325576451226,7.113194444444445,272.8241310738895,271.51876712021306,269.22938369742155,0.6619703335048609,blockE
2,1.2276633796952024e-06,Block E,-3.2482603277573205,1452,23,True,8,154,23,../../Block_E_single_network_chain/E1_Network_grid/results/N002_q08,111.80839152841907,183.93076858366263,1415.1880445783206,334.04461477413037,4.2445,172.53895145040588,170.34152280237436,168.3640740525334,1.2254432534092286,blockE
2,1.1468887907802725e-06,Block E,-4.370102892628486,1452,26,True,16,166,31,../../Block_E_single_network_chain/E1_Network_grid/results/N002_q16,138.1002391281554,203.3393862564896,1558.8432983679995,400.00042911100155,7.154583333333333,200.80743654398248,196.80488937025586,193.09240728676969,1.9600705251530206,blockE
64,6.219810224718111e-10,Block E,-4.187826701723467,1452,38,True,2,1260,50,../../Block_E_single_network_chain/E1_Network_grid/results/N064_q02,108.14519098643574,145.74920991109255,897.8420593906342,241.80097268979023,31.154472222222225,157.20435112655196,126.63481671687293,112.91335866440022,17.487683723338293,blockE
64,4.6063901378746916e-10,Block E,-7.062851826488345,1452,35,False,4,1714,68,../../Block_E_single_network_chain/E1_Network_grid/results/N064_q04,83.33602361958424,118.55105796361397,807.3798196569081,206.41439332718485,47.81138888888889,136.22541094730423,120.25299920088628,109.88189417787453,10.953372034165257,blockE
64,4.861660888235512e-10,Block E,0.1854410338367884,1452,45,True,8,1157,46,../../Block_E_single_network_chain/E1_Network_grid/results/N064_q08,90.51795425019391,137.90256604200718,936.3898541721111,270.0286621445146,38.73844444444444,148.70561580713115,136.25591028582562,124.25670232806851,8.971689164813426,blockE
64,8.084230412154431e-10,Block E,1.4551575936518069,1452,35,True,16,1046,41,../../Block_E_single_network_chain/E1_Network_grid/results/N064_q16,104.77372516825653,164.36248179544657,1284.206259288179,369.5129634747161,59.34430555555556,177.1293342897593,163.6031962733,142.52859325841882,10.57459200660718,blockE
128,1.7597284833293294e-10,Block E,0.9678724216251253,1452,39,True,2,1260,50,../../Block_E_single_network_chain/E1_Network_grid/results/N128_q02,106.0861786840767,141.60546556315666,1035.1143351069557,274.78529613988394,31.94472222222222,150.63558833799107,135.72386182585205,120.21193639589,11.207923033142762,blockE
128,1.5340493122462906e-10,Block E,2.9895593869089794,1452,34,True,4,1213,48,../../Block_E_single_network_chain/E1_Network_grid/results/N128_q04,119.495093593754,154.44264231313286,1020.7947653417407,273.40682826212856,30.87344444444444,193.60490592237056,157.08769694039404,128.81777689054275,20.621324996702604,blockE
128,1.2923052176169816e-10,Block E,-7.243757942201921,1452,28,False,8,1599,63,../../Block_E_single_network_chain/E1_Network_grid/results/N128_q08,70.50089013741243,122.2419291681365,927.746226822811,240.504043026759,54.719638888888895,148.3844883933898,128.6713120713614,116.3661830770053,12.441897421014513,blockE
128,1.447272481267078e-10,Block E,-4.09932144965784,1452,42,True,16,1383,55,../../Block_E_single_network_chain/E1_Network_grid/results/N128_q16,98.79788974520515,143.14507063502046,1063.4589031839118,262.92722043481007,76.9853611111111,150.36293410867074,138.28943754011647,124.77841324584915,9.250352491816217,blockE
256,4.238859715215087e-11,Block E,-5.975785935400424,1452,32,False,2,1758,70,../../Block_E_single_network_chain/E1_Network_grid/results/N256_q02,70.73192061812338,126.29060577814681,1031.5238405691102,309.7607338429668,42.969249999999995,140.10008337930913,122.52211968420568,112.20973500343234,11.381760472216238,blockE
256,3.730955179040853e-11,Block E,-2.6337358148227774,1452,50,False,4,1709,68,../../Block_E_single_network_chain/E1_Network_grid/results/N256_q04,100.04412794782645,150.27987653632255,1061.583107847494,290.45056791788613,43.802527777777776,146.58827280536002,129.39570677121992,108.32165941928906,14.786662688016703,blockE
256,3.090074474589402e-11,Block E,-5.227784924269977,1452,45,False,8,1615,64,../../Block_E_single_network_chain/E1_Network_grid/results/N256_q08,85.21250989623567,128.20026986111748,1043.7061155490626,230.80249278165547,65.52061111111111,140.9168059028616,130.1194376735566,116.62836663640519,9.33313258215548,blockE
256,3.248802637436564e-11,Block E,-10.93845553771346,1452,34,False,16,1050,42,../../Block_E_single_network_chain/E1_Network_grid/results/N256_q16,89.61609083192846,147.6798548605811,1032.1475078452384,285.8992728716375,63.233333333333334,165.21507399596658,149.46241433106167,135.80006472591322,9.840269676394575,blockE
64,2.0647493424824884e-11,Block F: full,2.82029345539796,1452,35,True,2,1000,40,../F1_Training/results/full/N064_q02,24.76498404528246,88.82612667434611,1399.0982892324078,372.98957782459166,21.598833333333335,95.54034960939362,89.25572715898511,74.58580981207774,11.738484724902296,full
128,4.424375630994111e-12,Block F: full,0.497163389821924,1452,35,True,8,1000,40,../F1_Training/results/full/N128_q08,27.3025169832845,104.6246983049756,1611.3822263420113,445.88241337203164,32.82827777777778,115.44435873939562,107.04313245227581,92.35749729887743,10.783905941285516,full
256,8.945093367545119e-13,Block F: full,5.064646482070525,1452,62,True,16,1807,74,../F1_Training/results/full/N256_q16,34.56216627778913,92.15880370314537,1229.5451839052853,357.41342136020035,100.40655555555554,99.76776767859974,89.51037575448595,73.12601958130927,14.88193288919094,full
