p_lo,p_hi,n,loss_med,loss_share,step_med_um,chain_med_um
1.0,2.0,5,4.522872169801254e-08,0.019671086951381738,3.904009548847643,2509.611802942331
2.0,3.0,159,1.60691895403236e-08,0.34125632753946783,2.9388597315544986,603.314405697179
3.0,5.0,341,2.018796612909397e-09,0.5925471709078536,1.344292453584945,278.6704019499498
5.0,7.0,233,2.5126048655465433e-10,0.039484514677861245,0.6252590868577526,121.32208615795452
7.0,10.0,197,7.62728217734712e-11,0.004767407385914694,0.33259236144320803,51.51470777626999
10.0,15.0,208,2.075237310936296e-11,0.0017473984908381152,0.1765958927004395,30.365973166921805
15.0,20.0,109,8.57909299144126e-12,0.0004623877632478635,0.1419126301498879,25.94438697184329
20.0,30.0,115,4.5182576208562735e-12,4.6849613912938936e-05,0.12727252520154603,16.14222226804006
30.0,50.0,55,3.997078911025854e-12,1.0936520063239667e-05,0.12607078502796631,16.160670817806025
50.0,100.0,24,2.7055088101027607e-12,4.0088137661089935e-06,0.14290867441816996,19.754186316648767
100.0,200.0,6,2.73934985826171e-12,1.911335692675863e-06,0.3310203817461495,51.45035482268811
