component,unit,p_lo,p_hi,x0_lo,x0_hi,n,med,signed_median
x,µm,1.0,2.0,-700.0,-400.0,1,554.9915164205004,-554.9915164205004
x,µm,1.0,2.0,-400.0,-250.0,0,nan,nan
x,µm,1.0,2.0,-250.0,-150.0,0,nan,nan
x,µm,1.0,2.0,-150.0,-75.0,0,nan,nan
x,µm,1.0,2.0,-75.0,0.0,1,6682.060189767071,6682.060189767071
x,µm,1.0,2.0,0.0,75.0,0,nan,nan
x,µm,1.0,2.0,75.0,150.0,0,nan,nan
x,µm,1.0,2.0,150.0,250.0,0,nan,nan
x,µm,1.0,2.0,250.0,400.0,0,nan,nan
x,µm,1.0,2.0,400.0,700.0,3,1181.0256954935312,-421.35120814083393
x,µm,2.0,3.0,-700.0,-400.0,12,276.3328443788424,-172.1100267119482
x,µm,2.0,3.0,-400.0,-250.0,12,403.7962882677215,-319.9437857612333
x,µm,2.0,3.0,-250.0,-150.0,22,348.7646251471688,-108.19404646321118
x,µm,2.0,3.0,-150.0,-75.0,11,535.9626613787896,352.3572726207931
x,µm,2.0,3.0,-75.0,0.0,23,307.4985722198562,283.79794231773303
x,µm,2.0,3.0,0.0,75.0,24,330.35238642742115,198.16007615224862
x,µm,2.0,3.0,75.0,150.0,15,266.8488179274391,208.9629746672017
x,µm,2.0,3.0,150.0,250.0,16,235.21125630446704,235.21125630446704
x,µm,2.0,3.0,250.0,400.0,16,497.5537128370888,-70.30650806626682
x,µm,2.0,3.0,400.0,700.0,8,564.7666196246278,97.24410533330641
x,µm,3.0,5.0,-700.0,-400.0,10,158.7865396079593,48.79558384527627
x,µm,3.0,5.0,-400.0,-250.0,20,133.0567120721502,-85.22132272089777
x,µm,3.0,5.0,-250.0,-150.0,33,149.06548064891467,-113.3431003008809
x,µm,3.0,5.0,-150.0,-75.0,47,93.53492184800416,23.33180360847109
x,µm,3.0,5.0,-75.0,0.0,48,103.56223402993692,24.295252835429437
x,µm,3.0,5.0,0.0,75.0,52,130.2129734045252,-41.67790670277327
x,µm,3.0,5.0,75.0,150.0,42,92.21601932824797,5.050891316216166
x,µm,3.0,5.0,150.0,250.0,34,163.03625820808065,97.81634093394587
x,µm,3.0,5.0,250.0,400.0,34,196.40008814823773,17.056707762350243
x,µm,3.0,5.0,400.0,700.0,21,538.110953474586,-498.91421255460955
x,µm,5.0,7.0,-700.0,-400.0,6,183.09653380805457,162.3597920565203
x,µm,5.0,7.0,-400.0,-250.0,11,87.52043585673164,-64.61266949514766
x,µm,5.0,7.0,-250.0,-150.0,22,51.11933325137841,-35.09772862019389
x,µm,5.0,7.0,-150.0,-75.0,24,30.35745510933907,-19.399006022837284
x,µm,5.0,7.0,-75.0,0.0,46,40.22534073092743,-25.86783757038802
x,µm,5.0,7.0,0.0,75.0,48,58.51837330328635,-0.162164603580095
x,µm,5.0,7.0,75.0,150.0,35,31.541824021587672,-13.87015550272963
x,µm,5.0,7.0,150.0,250.0,18,54.13498853368992,33.50146032573775
x,µm,5.0,7.0,250.0,400.0,16,106.59683170533185,38.870640300757486
x,µm,5.0,7.0,400.0,700.0,7,349.64531657681164,-184.03977582136122
x,µm,7.0,10.0,-700.0,-400.0,1,48.11683809020906,-48.11683809020906
x,µm,7.0,10.0,-400.0,-250.0,8,41.779464632753616,9.480945203677038
x,µm,7.0,10.0,-250.0,-150.0,11,18.20776788110834,-9.419232146456125
x,µm,7.0,10.0,-150.0,-75.0,22,26.19764278971104,-11.335037047103924
x,µm,7.0,10.0,-75.0,0.0,50,17.52885016536254,14.791308639004797
x,µm,7.0,10.0,0.0,75.0,46,22.405235236135468,16.4459425690211
x,µm,7.0,10.0,75.0,150.0,33,39.837327911300235,26.969949205181365
x,µm,7.0,10.0,150.0,250.0,11,46.36239196952374,25.581280112760396
x,µm,7.0,10.0,250.0,400.0,9,64.81299360939374,64.81299360939374
x,µm,7.0,10.0,400.0,700.0,6,105.06338730760945,75.86016672757978
x,µm,10.0,15.0,-700.0,-400.0,1,49.24846387962134,-49.24846387962134
x,µm,10.0,15.0,-400.0,-250.0,1,140.63990871136411,140.63990871136411
x,µm,10.0,15.0,-250.0,-150.0,12,30.355580247004355,-26.592076633505712
x,µm,10.0,15.0,-150.0,-75.0,28,11.65054451433889,-10.685847160630146
x,µm,10.0,15.0,-75.0,0.0,58,9.382800812716141,-2.040836798059331
x,µm,10.0,15.0,0.0,75.0,69,10.540397959275083,5.598082733939691
x,µm,10.0,15.0,75.0,150.0,26,18.634690160438172,-8.574814355629456
x,µm,10.0,15.0,150.0,250.0,4,22.35732275130431,6.106262619681502
x,µm,10.0,15.0,250.0,400.0,3,63.62148260336653,63.62148260336653
x,µm,10.0,15.0,400.0,700.0,6,162.0049823827685,-154.8814013649462
x,µm,15.0,20.0,-700.0,-400.0,0,nan,nan
x,µm,15.0,20.0,-400.0,-250.0,0,nan,nan
x,µm,15.0,20.0,-250.0,-150.0,4,37.9129871894861,9.835269241932565
x,µm,15.0,20.0,-150.0,-75.0,12,10.297815058493143,-1.6828199651115483
x,µm,15.0,20.0,-75.0,0.0,35,6.543602189680087,-6.01914160972683
x,µm,15.0,20.0,0.0,75.0,40,13.07687584918149,-10.179499343671239
x,µm,15.0,20.0,75.0,150.0,14,30.632794250138318,-24.950416676130516
x,µm,15.0,20.0,150.0,250.0,2,94.16566732224396,73.51382893003233
x,µm,15.0,20.0,250.0,400.0,1,475.9877304906013,475.9877304906013
x,µm,15.0,20.0,400.0,700.0,1,45.29641591420841,45.29641591420841
x,µm,20.0,30.0,-700.0,-400.0,0,nan,nan
x,µm,20.0,30.0,-400.0,-250.0,0,nan,nan
x,µm,20.0,30.0,-250.0,-150.0,4,17.306049467890716,-10.819905214674463
x,µm,20.0,30.0,-150.0,-75.0,13,21.460198261195274,-21.460198261195274
x,µm,20.0,30.0,-75.0,0.0,45,10.589364219470099,-10.589364219470099
x,µm,20.0,30.0,0.0,75.0,35,10.06911354204476,-5.228804432988454
x,µm,20.0,30.0,75.0,150.0,16,11.308103471407094,-7.97772935499097
x,µm,20.0,30.0,150.0,250.0,2,36.858599220067845,7.02428391457488
x,µm,20.0,30.0,250.0,400.0,0,nan,nan
x,µm,20.0,30.0,400.0,700.0,0,nan,nan
x,µm,30.0,50.0,-700.0,-400.0,0,nan,nan
x,µm,30.0,50.0,-400.0,-250.0,0,nan,nan
x,µm,30.0,50.0,-250.0,-150.0,2,22.761103398579507,10.282768424531241
x,µm,30.0,50.0,-150.0,-75.0,4,10.755862991047138,-10.755862991047138
x,µm,30.0,50.0,-75.0,0.0,20,8.4149590433924,-8.21657123989894
x,µm,30.0,50.0,0.0,75.0,25,5.14609496944729,0.8567561083623332
x,µm,30.0,50.0,75.0,150.0,3,13.573374172210606,13.573374172210606
x,µm,30.0,50.0,150.0,250.0,1,0.8387235163809237,-0.8387235163809237
x,µm,30.0,50.0,250.0,400.0,0,nan,nan
x,µm,30.0,50.0,400.0,700.0,0,nan,nan
x,µm,50.0,100.0,-700.0,-400.0,0,nan,nan
x,µm,50.0,100.0,-400.0,-250.0,0,nan,nan
x,µm,50.0,100.0,-250.0,-150.0,1,26.752937389801446,26.752937389801446
x,µm,50.0,100.0,-150.0,-75.0,0,nan,nan
x,µm,50.0,100.0,-75.0,0.0,9,13.542766804135908,-13.542766804135908
x,µm,50.0,100.0,0.0,75.0,13,12.259585644258664,-12.259585644258664
x,µm,50.0,100.0,75.0,150.0,1,47.91218746748882,-47.91218746748882
x,µm,50.0,100.0,150.0,250.0,0,nan,nan
x,µm,50.0,100.0,250.0,400.0,0,nan,nan
x,µm,50.0,100.0,400.0,700.0,0,nan,nan
