window,p_lo,p_hi,role,kind,lo,hi,n_states,share_of_loss_pct,share_of_loss_trimmed_pct,share_of_states_pct
3-8 GeV,3.0,8.0,anchor,quarter of z,1,1,2000,5.872921420799318,34.95386696558306,25.0
3-8 GeV,3.0,8.0,anchor,quarter of z,2,2,2000,75.30106670495212,25.912101898988233,25.0
3-8 GeV,3.0,8.0,anchor,quarter of z,3,3,2000,17.15954109604041,23.869618509874616,25.0
3-8 GeV,3.0,8.0,anchor,quarter of z,4,4,2000,1.6664707782081825,15.26441262555409,25.0
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],1.0,2.0,66,0.08960847567278125,1.4387914033202587,0.8250000000000001
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],2.0,3.0,868,13.0361733308931,27.16061849803658,10.85
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],3.0,5.0,1985,41.31506481002913,41.59640307640055,24.8125
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],5.0,8.0,1687,44.1081934403319,19.38148100649868,21.087500000000002
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],8.0,10.0,640,0.5242477787555258,4.0240752660006995,8.0
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],10.0,20.0,1678,0.8503270857474007,5.172159776282456,20.974999999999998
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],20.0,50.0,918,0.023726109330702436,0.38095639818611926,11.475
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],50.0,100.0,136,0.003946736747636446,0.0633704664768931,1.7000000000000002
3-8 GeV,3.0,8.0,anchor,momentum band [GeV],100.0,200.0,22,0.04871223249185081,0.7821441087977541,0.27499999999999997
3-10 GeV,3.0,10.0,candidate,quarter of z,1,1,2000,6.04921073492986,35.12664487329431,25.0
3-10 GeV,3.0,10.0,candidate,quarter of z,2,2,2000,75.11708252609961,25.27232763996435,25.0
3-10 GeV,3.0,10.0,candidate,quarter of z,3,3,2000,17.150077045623608,24.492619668989562,25.0
3-10 GeV,3.0,10.0,candidate,quarter of z,4,4,2000,1.6836296933469146,15.108407817751774,25.0
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],1.0,2.0,66,0.0918018767601547,1.4422012882756146,0.8250000000000001
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],2.0,3.0,868,12.992103139708988,27.22374367884784,10.85
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],3.0,5.0,1985,41.175394773527906,40.561189808881906,24.8125
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],5.0,8.0,1687,43.959080930981095,18.899132418683614,21.087500000000002
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],8.0,10.0,640,0.5487347399260364,4.083056927973698,8.0
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],10.0,20.0,1678,1.13153850229767,6.198536478991821,20.974999999999998
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],20.0,50.0,918,0.04473928870544802,0.7028512061480764,11.475
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],50.0,100.0,136,0.003933394378015636,0.061793360217363064,1.7000000000000002
3-10 GeV,3.0,10.0,candidate,momentum band [GeV],100.0,200.0,22,0.05267335371467308,0.8274948319800628,0.27499999999999997
3-20 GeV,3.0,20.0,candidate,quarter of z,1,1,2000,6.171167583912719,35.14101183453349,25.0
3-20 GeV,3.0,20.0,candidate,quarter of z,2,2,2000,74.9868992635356,25.818014350414636,25.0
3-20 GeV,3.0,20.0,candidate,quarter of z,3,3,2000,17.147117347857023,24.27765938939879,25.0
3-20 GeV,3.0,20.0,candidate,quarter of z,4,4,2000,1.6948158046946664,14.763314425653085,25.0
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],1.0,2.0,66,0.09150824691300238,1.3853131103195822,0.8250000000000001
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],2.0,3.0,868,12.950547679257271,26.149892762459164,10.85
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],3.0,5.0,1985,41.04369458067265,38.96123826070723,24.8125
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],5.0,8.0,1687,43.81847707112274,18.15364895740187,21.087500000000002
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],8.0,10.0,640,0.5469796026293055,3.92199919559509,8.0
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],10.0,20.0,1678,1.3054173588959403,7.7435270424083935,20.974999999999998
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],20.0,50.0,918,0.18558546487221717,2.8095170243689402,11.475
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],50.0,100.0,136,0.005285118530150176,0.08000966291454202,1.7000000000000002
3-20 GeV,3.0,20.0,candidate,momentum band [GeV],100.0,200.0,22,0.052504877106720416,0.7948539838251815,0.27499999999999997
2-15 GeV,2.0,15.0,candidate,quarter of z,1,1,2000,6.199787827578692,35.254453299239344,25.0
2-15 GeV,2.0,15.0,candidate,quarter of z,2,2,2000,74.9256514675758,25.593174246130314,25.0
2-15 GeV,2.0,15.0,candidate,quarter of z,3,3,2000,17.16175323564439,24.27126088537792,25.0
2-15 GeV,2.0,15.0,candidate,quarter of z,4,4,2000,1.7128074692011275,14.881111569252425,25.0
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],1.0,2.0,66,0.14307377573894844,2.1440542153773867,0.8250000000000001
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],2.0,3.0,868,13.10427464603166,27.419585732682204,10.85
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],3.0,5.0,1985,40.984350055350816,38.5116717863605,24.8125
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],5.0,8.0,1687,43.755120525161686,17.944177381994113,21.087500000000002
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],8.0,10.0,640,0.5461887321871974,3.876743977089044,8.0
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],10.0,20.0,1678,1.2919412672257948,7.48051307202531,20.974999999999998
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],20.0,50.0,918,0.11870689299328782,1.7789005217909104,11.475
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],50.0,100.0,136,0.003915144298701024,0.05867100098593071,1.7000000000000002
2-15 GeV,2.0,15.0,candidate,momentum band [GeV],100.0,200.0,22,0.0524289610119143,0.7856823116945979,0.27499999999999997
4-6 GeV,4.0,6.0,narrow reference,quarter of z,1,1,2000,5.371918944871737,33.108945372655285,25.0
4-6 GeV,4.0,6.0,narrow reference,quarter of z,2,2,2000,76.14109395478312,26.74357782771839,25.0
4-6 GeV,4.0,6.0,narrow reference,quarter of z,3,3,2000,16.969588407466667,25.593386116758076,25.0
4-6 GeV,4.0,6.0,narrow reference,quarter of z,4,4,2000,1.5173986928784624,14.55409068286826,25.0
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],1.0,2.0,66,0.05868655500495534,1.0472203085396146,0.8250000000000001
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],2.0,3.0,868,10.825982587241995,24.28826210482886,10.85
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],3.0,5.0,1985,42.86552293652708,45.34676253783514,24.8125
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],5.0,8.0,1687,45.335612306032736,21.252627939463476,21.087500000000002
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],8.0,10.0,640,0.3924502069237476,3.4443908824208247,8.0
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],10.0,20.0,1678,0.46300517824274123,3.5725581253505285,20.974999999999998
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],20.0,50.0,918,0.015858423822896508,0.2829824222492422,11.475
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],50.0,100.0,136,0.004150569522165607,0.07406399464494677,1.7000000000000002
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],100.0,200.0,22,0.038731236681669744,0.6911316846673694,0.27499999999999997
10-50 GeV,10.0,50.0,baseline,quarter of z,1,1,2000,6.592477775845806,33.145019177576565,25.0
10-50 GeV,10.0,50.0,baseline,quarter of z,2,2,2000,85.08591960794207,29.354463625676686,25.0
