band,charge,n,median_P_GeV,median_dx_um,median_dy_um,median_dx_over_bend,implied_dp_MeV,halfwidth68_dx_um,rms_dx_um,median_abs_dx_um,median_abs_dtx_1e-3,median_abs_dy_um,median_abs_dty_1e-3,halfwidth68_dx_charge_corrected_um,median_max_dx_dy_um,p95_max_dx_dy_um,median_bend_mm,n_bend_cut
1-2 GeV,q+,63,1.8742493391036987,-14449.63450049221,-2432.81144425373,0.008802149176242061,16.49742227626385,10054.494701520098,17478.27663590818,14449.63450049221,6.055576805777507,3961.388451066682,1.0709601031937792,,,,-1663.1740914095371,63
1-2 GeV,q-,26,1.8276420831680298,14832.209441129748,-695.5083267076602,0.008500885229833138,15.536575590224572,7873.6375903007465,21437.675000141917,14832.209441129748,6.811551381553482,3158.2050964998416,0.9253435297228926,,,,1709.795489699918,26
1-2 GeV,both,89,1.8634867668151855,-6565.877073272475,-1496.6938383281558,0.008559920439011338,15.951298463088463,18102.02306086103,18721.73565757807,14723.38580364476,6.439882658998419,3762.641071886719,1.0181959871802468,9998.462622918625,14723.38580364476,35183.10508857389,-1621.7521608511765,89
2-5 GeV,q+,2649,3.4133732318878174,-4826.33225972927,-851.1604743814587,0.00538708860807449,18.388144052609267,4369.765601933873,12172.988325095279,4941.348547162647,1.7567437110760087,1687.0926149545085,0.5283336747777811,,,,-927.8914092246373,2649
2-5 GeV,q-,2468,3.482513427734375,4509.316474936554,630.8901720725828,0.004965795283759547,17.293448755072653,4383.663287191554,12518.799411559465,4699.262913485882,1.6256909061264924,1764.7041596588906,0.505472030771767,,,,914.5344681122675,2468
2-5 GeV,both,5117,3.4400217533111572,-399.09530342799826,-168.63229014745684,0.005202546778784809,17.89687409163863,6958.642300046206,12340.987608870562,4826.33225972927,1.6870432581711503,1712.5519821449018,0.5179408508842465,4372.214714490183,5135.658096476504,18293.871661709272,-631.3717085947691,5117
5-10 GeV,q+,2216,6.84273099899292,-1099.6034000198733,-297.8338389558912,0.002509407855018117,17.1712029186488,1518.97637563427,5597.751837466415,1296.4916400481457,0.3759073751104236,800.334927986853,0.23229120599158048,,,,-447.17276714395234,2216
5-10 GeV,q-,2070,6.911310195922852,973.3113374425404,332.72139732573794,0.0022433298599554173,15.504348533928058,1524.3799434301397,3687.500336846183,1223.5395305430784,0.34005043471523055,838.7093090782543,0.23102047872602344,,,,440.9977727817824,2070
5-10 GeV,both,4286,6.876570463180542,-112.09056815585683,-2.1970900645698066,0.0023810623215339997,16.373542831252795,1912.8455901547811,4771.61871067294,1267.787975071691,0.3556091028513453,817.8692133859329,0.23196787392383567,1520.7558570792853,1607.9204743905607,5791.486970734607,-309.3686436197912,4286
10-25 GeV,q+,1870,14.521869659423828,-117.98391461768887,-131.97577405097505,0.0006109379720124636,8.87196159955772,648.9438578921206,3491.2227395183927,413.5596252886842,0.11022474716860381,365.3806994967965,0.10949293092421888,,,,-207.2588475042425,1870
10-25 GeV,q-,1827,14.635239601135254,138.82982507445263,143.26284308992854,0.0006909027675506108,10.111527544190645,645.1371816576307,1724.8696053739295,401.1425085688529,0.10361372671187363,376.70454489269736,0.10672654890854158,,,,204.864124523067,1827
10-25 GeV,both,3697,14.57797908782959,-8.041316537745757,9.975448708473778,0.0006442609346022175,9.392022431736672,674.2590709467293,2763.23846410893,408.7107000374175,0.10696906833145003,371.3793315358771,0.10829267915895419,647.0504531364008,622.20831411571,3222.652157967262,-122.04754779990776,3697
25-50 GeV,q+,496,31.314284324645996,24.312037891778715,-65.64624948488529,-0.0002701650905226839,-8.460026459221048,343.57257828485865,1338.17124533656,185.93570991441766,0.056397641848091734,189.88333760421483,0.05146784547478689,,,,-95.29136272150902,496
25-50 GeV,q-,520,33.01680564880371,-19.641015248623717,66.39387591765455,-0.0002483201580315929,-8.198738396409327,282.76013392613555,1070.6428033623931,169.69464358790276,0.05527103114847526,199.29868423164265,0.050507317735222663,,,,90.5270063078402,520
25-50 GeV,both,1016,32.0595760345459,-0.5477335699870522,6.557271287377375,-0.00025113829633064495,-8.051387306398631,314.95532160931157,1208.667784474896,177.65146664712273,0.05609686003744865,195.146850958686,0.05132170683437229,311.59260548500356,296.48400116663254,2047.1933718097152,61.42001136438695,1016
